rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,0Fe3WxeO6lZZxj7ytvbDUh,Dashboard,Modest Mouse,We Were Dead Before The Ship Even Sank,currently_listening,136.00,250.00,90.00,64.00,96.00,10A,1,2026-08-16T08:51:29.127Z,https://open.spotify.com/track/0Fe3WxeO6lZZxj7ytvbDUh
2,7fq0XZP4zQ54Hhq1szMit2,Typical Ways,Culture Wars,Don't Speak,currently_listening,123.00,243.00,74.00,72.00,97.00,4A,1,2026-08-16T08:51:29.091Z,https://open.spotify.com/track/7fq0XZP4zQ54Hhq1szMit2
3,6tmlwJjSw8QLZnBjwZ4Mej,Way Out,Yeah Yeah Yeahs,Show Your Bones,currently_listening,117.00,248.00,92.00,67.00,89.00,9B,1,2026-08-16T08:51:29.114Z,https://open.spotify.com/track/6tmlwJjSw8QLZnBjwZ4Mej
4,6voIJ7OWwRabSZDC77D5Hp,Trouble’s Coming,Royal Blood,Typhoons,currently_listening,112.00,228.00,69.00,78.00,81.00,12A,1,2026-08-16T08:51:29.086Z,https://open.spotify.com/track/6voIJ7OWwRabSZDC77D5Hp
5,2SGyf0hCuB81F85cHXuRjl,So Cold,Balu Brigada,Portal,currently_listening,111.00,222.00,77.00,66.00,79.00,3A,1,2026-08-16T08:51:29.096Z,https://open.spotify.com/track/2SGyf0hCuB81F85cHXuRjl
6,20TOJbuP4XyGBEFbwB8Vbm,Beaches In Tennessee,Cage The Elephant,Beaches In Tennessee,currently_listening,114.00,221.00,91.00,68.00,62.00,9A,1,2026-08-16T08:51:29.098Z,https://open.spotify.com/track/20TOJbuP4XyGBEFbwB8Vbm
7,0LoX60sC6J2xQ2kUaeqioX,Ruin My Life,Census,Ruin My Life,currently_listening,120.00,216.00,95.00,57.00,64.00,11B,1,2026-08-16T08:51:29.138Z,https://open.spotify.com/track/0LoX60sC6J2xQ2kUaeqioX
8,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,AM,currently_listening,130.00,224.00,64.00,73.00,87.00,4A,1,2026-08-16T08:51:29.095Z,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
9,55N59YgXzLKyVKrqfnTjJV,Parting of the Sensory,Modest Mouse,We Were Dead Before The Ship Even Sank,currently_listening,130.00,226.00,95.00,59.00,72.00,8A,1,2026-08-16T08:51:29.126Z,https://open.spotify.com/track/55N59YgXzLKyVKrqfnTjJV
10,4eAwB5pnKFTmsgc3zWoYO0,Fake It,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),currently_listening,132.00,221.00,95.00,61.00,65.00,4B,1,2026-08-16T08:51:29.107Z,https://open.spotify.com/track/4eAwB5pnKFTmsgc3zWoYO0
11,4Yf5bqU3NK4kNOypcrLYwU,Faint,Linkin Park,Meteora,currently_listening,135.00,214.00,98.00,55.00,61.00,12B,1,2026-08-16T08:51:29.106Z,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU
12,0babKgXwpYCxbmgTc2Ikrh,The Way She Looks,Two Feet,The Way She Looks,currently_listening,135.00,212.00,90.00,54.00,68.00,11A,1,2026-08-16T08:51:29.112Z,https://open.spotify.com/track/0babKgXwpYCxbmgTc2Ikrh
13,0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,Linkin Park,Minutes to Midnight,currently_listening,140.00,211.00,97.00,54.00,60.00,1B,1,2026-08-16T08:51:29.143Z,https://open.spotify.com/track/0UFDKFqW2oGspYeYqo9wjA
14,4pEU0NT64oiem9lDT7nuJn,Running In Circles,Dead Poet Society,FISSION,currently_listening,142.00,210.00,84.00,62.00,64.00,5B,1,2026-08-16T08:51:29.085Z,https://open.spotify.com/track/4pEU0NT64oiem9lDT7nuJn
15,6cAFXLvw1L4DJEmQF07KDm,Not a Mistake,NOMARKMORE,Not a Mistake,currently_listening,120.00,196.00,88.00,54.00,54.00,3B,1,2026-08-16T08:51:29.092Z,https://open.spotify.com/track/6cAFXLvw1L4DJEmQF07KDm
16,5gRcv46AMTrosmTOqrOV3Q,Dumb,Nirvana,In Utero,currently_listening,114.00,198.00,40.00,70.00,88.00,2B,1,2026-08-16T08:51:29.140Z,https://open.spotify.com/track/5gRcv46AMTrosmTOqrOV3Q
17,1Lg55kAU7qG9y9IZ3jTaIG,Going To Hell,The Pretty Reckless,Going To Hell (Deluxe Edition),currently_listening,115.00,191.00,99.00,57.00,35.00,2B,1,2026-08-16T08:51:29.105Z,https://open.spotify.com/track/1Lg55kAU7qG9y9IZ3jTaIG
18,0kMMibKZeDcABgOWqY3LUm,Saints and Sailors,Dashboard Confessional,The Places You Have Come to Fear the Most,currently_listening,112.00,186.00,74.00,66.00,46.00,3B,1,2026-08-16T08:51:29.145Z,https://open.spotify.com/track/0kMMibKZeDcABgOWqY3LUm
19,5tAIRDxjqJeMoaiLaVBrad,All Your Friends Still Scare Me,Dexter and The Moonrocks,Donkey Flats,currently_listening,115.00,184.00,84.00,62.00,38.00,2B,1,2026-08-16T08:51:29.115Z,https://open.spotify.com/track/5tAIRDxjqJeMoaiLaVBrad
20,5iItYl3Q6wCnKVfpK1uNVf,The Suburbs,Arcade Fire,The Suburbs (Deluxe),currently_listening,118.00,185.00,69.00,62.00,54.00,11A,1,2026-08-16T08:51:29.113Z,https://open.spotify.com/track/5iItYl3Q6wCnKVfpK1uNVf
21,60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),currently_listening,105.00,182.00,86.00,56.00,40.00,2A,1,2026-08-16T08:51:29.143Z,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
22,0ZUrzmpZOdHGyUwHVu9USO,Stood A Chance,Taking Back Sunday,Happiness Is,currently_listening,94.00,190.00,89.00,48.00,53.00,3B,1,2026-08-16T08:51:29.122Z,https://open.spotify.com/track/0ZUrzmpZOdHGyUwHVu9USO
23,6n8TMVyFKoUmDc4apxceRD,Breaking the Habit,Linkin Park,Meteora,currently_listening,100.00,204.00,87.00,58.00,59.00,9A,1,2026-08-16T08:51:29.107Z,https://open.spotify.com/track/6n8TMVyFKoUmDc4apxceRD
