rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,1CXwDEBidzJwJYMqHK3tG4,One By One,The Blue Stones,Hidden Gems,currently_listening,91.00,189.00,73.00,61.00,55.00,8B,1,2026-09-14T07:30:55.403Z,https://open.spotify.com/track/1CXwDEBidzJwJYMqHK3tG4
2,0ZUrzmpZOdHGyUwHVu9USO,Stood A Chance,Taking Back Sunday,Happiness Is,currently_listening,94.00,190.00,89.00,48.00,53.00,3B,1,2026-09-14T07:30:55.360Z,https://open.spotify.com/track/0ZUrzmpZOdHGyUwHVu9USO
3,1lctRlmXFqukXxW4Gjm5HJ,Be My Fire,The Blue Stones,Black Holes,currently_listening,96.00,186.00,89.00,48.00,49.00,12A,1,2026-09-14T07:30:55.403Z,https://open.spotify.com/track/1lctRlmXFqukXxW4Gjm5HJ
4,1nHrElFYSY5up8fveIVFi4,WOW,The Royal Foundry,WOW,currently_listening,91.00,183.00,86.00,62.00,35.00,9A,1,2026-09-14T07:30:55.400Z,https://open.spotify.com/track/1nHrElFYSY5up8fveIVFi4
5,1Z4bpgy49F5P9mQrp29OVK,Locked In A Cage,Brick + Mortar,Bangs,currently_listening,83.00,176.00,84.00,56.00,36.00,7B,1,2026-09-14T07:30:55.356Z,https://open.spotify.com/track/1Z4bpgy49F5P9mQrp29OVK
6,3jfHclM5oNBSUvuBS7OgPj,Absolution,Switchfoot,Absolution,currently_listening,91.00,168.00,87.00,54.00,27.00,11B,1,2026-09-14T07:30:55.329Z,https://open.spotify.com/track/3jfHclM5oNBSUvuBS7OgPj
7,663Karu2rvKLdnY0eo1n3M,Call Me When You're Sober,Evanescence,The Open Door,currently_listening,93.00,166.00,88.00,45.00,33.00,9B,1,2026-09-14T07:30:55.383Z,https://open.spotify.com/track/663Karu2rvKLdnY0eo1n3M
8,1Qdnvn4XlmZANCVy3XjrQo,Show Me How to Live,Audioslave,Audioslave,currently_listening,89.00,165.00,85.00,43.00,37.00,11B,1,2026-09-14T07:30:55.372Z,https://open.spotify.com/track/1Qdnvn4XlmZANCVy3XjrQo
9,2opyAm6zOyjR0An5LkblfN,Make Me Wanna Die,The Pretty Reckless,Light Me Up,currently_listening,97.00,163.00,91.00,50.00,22.00,4B,1,2026-09-14T07:30:55.337Z,https://open.spotify.com/track/2opyAm6zOyjR0An5LkblfN
10,6zO0e11RCBnh1w8kjPZpIh,Mouthful of Diamonds,Phantogram,Eyelid Movies,currently_listening,100.00,165.00,82.00,61.00,22.00,8B,1,2026-09-14T07:30:55.387Z,https://open.spotify.com/track/6zO0e11RCBnh1w8kjPZpIh
11,2VcS3oKcOPkubN9LVzZ96l,Longshot,Catfish and the Bottlemen,The Balance,currently_listening,103.00,172.00,77.00,48.00,47.00,9B,1,2026-09-14T07:30:55.365Z,https://open.spotify.com/track/2VcS3oKcOPkubN9LVzZ96l
12,2DVko7ipsS69ZLptTsvCjS,Kiss The Void,Beware Of Darkness,"Lose Your Mind, Gain Your Soul",currently_listening,104.00,177.00,85.00,45.00,47.00,9B,1,2026-09-14T07:30:55.364Z,https://open.spotify.com/track/2DVko7ipsS69ZLptTsvCjS
13,60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),currently_listening,105.00,182.00,86.00,56.00,40.00,2A,1,2026-09-14T07:30:55.377Z,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
14,4jJfa4mO5JjV9Tz2aAxE2M,Supersonic - Remastered,Oasis,Definitely Maybe (Deluxe Edition Remastered),currently_listening,104.00,186.00,91.00,36.00,59.00,11B,1,2026-09-14T07:30:55.377Z,https://open.spotify.com/track/4jJfa4mO5JjV9Tz2aAxE2M
15,5N7Cdi5Te9E3rejjuyRwll,Your Chaos,NOMARKMORE,Exhibition Number Zero,currently_listening,124.00,184.00,45.00,74.00,65.00,2B,1,2026-09-14T07:30:55.321Z,https://open.spotify.com/track/5N7Cdi5Te9E3rejjuyRwll
16,4absiGHMelB8eH976ytjBj,Evil,Interpol,Antics,currently_listening,129.00,190.00,77.00,49.00,64.00,7B,1,2026-09-14T07:30:55.381Z,https://open.spotify.com/track/4absiGHMelB8eH976ytjBj
17,4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,The Resistance,currently_listening,128.00,192.00,91.00,60.00,41.00,10B,1,2026-09-14T07:30:55.346Z,https://open.spotify.com/track/4VqPOruhp5EdPBeR92t6lQ
18,6ThVbNunEIjQxRNn0gk6Yg,Red,Catfish and the Bottlemen,The Ride,currently_listening,135.00,156.00,85.00,54.00,17.00,6A,1,2026-09-14T07:30:55.332Z,https://open.spotify.com/track/6ThVbNunEIjQxRNn0gk6Yg
19,3HErXAS9DiVd8C9x6CJTYd,Attaway,Phantogram,Memory Of A Day,currently_listening,112.00,147.00,78.00,52.00,17.00,4A,1,2026-09-14T07:30:55.386Z,https://open.spotify.com/track/3HErXAS9DiVd8C9x6CJTYd
20,1Ic9pKxGSJGM0LKeqf6lGe,All Apologies,Nirvana,In Utero,currently_listening,113.00,144.00,63.00,45.00,36.00,3B,1,2026-09-14T07:30:55.376Z,https://open.spotify.com/track/1Ic9pKxGSJGM0LKeqf6lGe
