rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
57,7q6CybWAg3uYLgS5tDWqmd,Imaginary,Evanescence,Fallen,currently_listening,150.00,143.00,75.00,40.00,28.00,9A,1,2026-08-30T09:14:52.917Z,https://open.spotify.com/track/7q6CybWAg3uYLgS5tDWqmd
58,663Karu2rvKLdnY0eo1n3M,Call Me When You're Sober,Evanescence,The Open Door,currently_listening,93.00,166.00,88.00,45.00,33.00,9B,1,2026-08-30T09:14:52.917Z,https://open.spotify.com/track/663Karu2rvKLdnY0eo1n3M
59,3PTjxRUcTRSBfKcM5xrIsC,Enemy,Father Of Peace,The Year Of Madness,currently_listening,170.00,136.00,66.00,35.00,35.00,11A,1,2026-08-30T09:14:52.931Z,https://open.spotify.com/track/3PTjxRUcTRSBfKcM5xrIsC
60,3gmEzilP9BzF45wIMvA16l,I Miss the Misery,Halestorm,The Strange Case of... (Deluxe),currently_listening,164.00,192.00,97.00,47.00,48.00,8B,1,2026-08-30T09:14:52.923Z,https://open.spotify.com/track/3gmEzilP9BzF45wIMvA16l
61,5Ye1UOlgEP1NOpcCx30MFF,Deleted,Hidden Pillars,Deleted,currently_listening,90.00,195.00,84.00,58.00,53.00,8B,1,2026-08-30T09:14:52.948Z,https://open.spotify.com/track/5Ye1UOlgEP1NOpcCx30MFF
62,7yoBjKO6cCnK3zV8gr1k4e,Lydia,Highly Suspect,Mister Asylum,currently_listening,128.00,164.00,71.00,42.00,51.00,11A,1,2026-08-30T09:14:52.885Z,https://open.spotify.com/track/7yoBjKO6cCnK3zV8gr1k4e
63,1PyAgb9QPi4hacjK35jO3j,Honey,Hole,Nobody's Daughter,currently_listening,175.00,140.00,86.00,28.00,26.00,9B,1,2026-08-30T09:14:52.916Z,https://open.spotify.com/track/1PyAgb9QPi4hacjK35jO3j
64,2gE8DuQS5HnQS4GojVaAiC,Nobody's Daughter,Hole,Nobody's Daughter,currently_listening,174.00,113.00,73.00,21.00,19.00,9A,1,2026-08-30T09:14:52.916Z,https://open.spotify.com/track/2gE8DuQS5HnQS4GojVaAiC
65,1ShxNSFFxy1rSbnopgYpvx,Loneliest,Incubus,8,currently_listening,138.00,159.00,57.00,64.00,38.00,12A,1,2026-08-30T09:14:52.901Z,https://open.spotify.com/track/1ShxNSFFxy1rSbnopgYpvx
66,4absiGHMelB8eH976ytjBj,Evil,Interpol,Antics,currently_listening,129.00,190.00,77.00,49.00,64.00,7B,1,2026-08-30T09:14:52.914Z,https://open.spotify.com/track/4absiGHMelB8eH976ytjBj
67,1VcIbyyDX8j0GNxSlsRFeJ,Slow Hands,Interpol,Antics,currently_listening,142.00,186.00,97.00,25.00,64.00,10A,1,2026-08-30T09:14:52.915Z,https://open.spotify.com/track/1VcIbyyDX8j0GNxSlsRFeJ
68,30fjpSF8MABpUly46eSNt9,"Same Town, New Story",Interpol,El Pintor,currently_listening,109.00,156.00,77.00,48.00,31.00,9B,1,2026-08-30T09:14:52.915Z,https://open.spotify.com/track/30fjpSF8MABpUly46eSNt9
69,1rpR3eOV3lJAbWYksNr6jH,Tidal Wave,Interpol,El Pintor,currently_listening,122.00,167.00,86.00,39.00,42.00,4B,1,2026-08-30T09:14:52.916Z,https://open.spotify.com/track/1rpR3eOV3lJAbWYksNr6jH
70,7mUgniAC7CXDPRU0HfkGyI,Darling Thoughts,Interpol,This Mirror Weighs a Ton,currently_listening,116.00,189.00,88.00,46.00,55.00,12B,1,2026-08-30T09:14:52.928Z,https://open.spotify.com/track/7mUgniAC7CXDPRU0HfkGyI
71,12Hk9VzSIdv3jxXW53d0M1,Ever the Actor,Interpol,This Mirror Weighs a Ton,currently_listening,88.00,175.00,86.00,42.00,47.00,12A,1,2026-08-30T09:14:52.928Z,https://open.spotify.com/track/12Hk9VzSIdv3jxXW53d0M1
72,32rGbTvS1MXQ8ipl0Ap8e2,See Out Loud,Interpol,This Mirror Weighs a Ton,currently_listening,132.00,150.00,98.00,36.00,16.00,10A,1,2026-08-30T09:14:52.926Z,https://open.spotify.com/track/32rGbTvS1MXQ8ipl0Ap8e2
73,2JI0oiMyoO1G7V8alI8R5A,Wake Up,Interpol,This Mirror Weighs a Ton,currently_listening,136.00,223.00,96.00,50.00,77.00,12A,1,2026-08-30T09:14:52.928Z,https://open.spotify.com/track/2JI0oiMyoO1G7V8alI8R5A
74,36g619h8gPXcIxOQKDLQ5D,Wings On Fire,Interpol,This Mirror Weighs a Ton,currently_listening,124.00,207.00,99.00,51.00,57.00,10B,1,2026-08-30T09:14:52.927Z,https://open.spotify.com/track/36g619h8gPXcIxOQKDLQ5D
75,37kbYkuuT3zrFNoEXUdtDS,Wounded Soldier,Interpol,This Mirror Weighs a Ton,currently_listening,100.00,178.00,83.00,49.00,46.00,8B,1,2026-08-30T09:14:52.927Z,https://open.spotify.com/track/37kbYkuuT3zrFNoEXUdtDS
76,6mULitaDKOmZIRIvmg7iSl,Exit Signs,LEAP,Entropy,currently_listening,83.00,184.00,88.00,47.00,49.00,9A,1,2026-08-30T09:14:52.947Z,https://open.spotify.com/track/6mULitaDKOmZIRIvmg7iSl
77,7tb2OZwLHhleZqv4oslOA0,Over & Out,LEAP,Entropy,currently_listening,101.00,195.00,93.00,50.00,52.00,12B,1,2026-08-30T09:14:52.948Z,https://open.spotify.com/track/7tb2OZwLHhleZqv4oslOA0
78,6SkGAtFv38tQjouh7UeNpu,Where The Silence Goes,LEAP,One Million Pieces,currently_listening,170.00,178.00,91.00,47.00,40.00,9B,1,2026-08-30T09:14:52.853Z,https://open.spotify.com/track/6SkGAtFv38tQjouh7UeNpu
79,2gSVKxPDww9Eep5rdvtdem,My Way,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,currently_listening,97.00,205.00,86.00,58.00,61.00,2B,1,2026-08-30T09:14:52.883Z,https://open.spotify.com/track/2gSVKxPDww9Eep5rdvtdem
80,2ppAkaBj4vaL0qsFm1TOKI,Dad Vibes,Limp Bizkit,STILL SUCKS,currently_listening,95.00,243.00,89.00,70.00,84.00,2B,1,2026-08-30T09:14:52.925Z,https://open.spotify.com/track/2ppAkaBj4vaL0qsFm1TOKI
81,3nEZLrSP1k6d7k5xJYfBft,Snacky Poo,Limp Bizkit,STILL SUCKS,currently_listening,187.00,185.00,75.00,54.00,56.00,4B,1,2026-08-30T09:14:52.926Z,https://open.spotify.com/track/3nEZLrSP1k6d7k5xJYfBft
82,2KlKLcZPU4CptMCQ3TY5ls,"Turn It Up, Bitch",Limp Bizkit,STILL SUCKS,currently_listening,108.00,190.00,87.00,87.00,16.00,10B,1,2026-08-30T09:14:52.926Z,https://open.spotify.com/track/2KlKLcZPU4CptMCQ3TY5ls
83,6aCBjSb87RizdH8lVBIRW7,Good Things Go,Linkin Park,From Zero,currently_listening,127.00,161.00,76.00,54.00,31.00,7A,1,2026-08-30T09:14:52.860Z,https://open.spotify.com/track/6aCBjSb87RizdH8lVBIRW7
84,1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,From Zero,currently_listening,184.00,215.00,87.00,47.00,81.00,9B,1,2026-08-30T09:14:52.860Z,https://open.spotify.com/track/1EDPVGbyPKJPeGqATwXZvN
85,60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),currently_listening,105.00,182.00,86.00,56.00,40.00,2A,1,2026-08-30T09:14:52.911Z,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
86,6n8TMVyFKoUmDc4apxceRD,Breaking the Habit,Linkin Park,Meteora,currently_listening,100.00,204.00,87.00,58.00,59.00,9A,1,2026-08-30T09:14:52.874Z,https://open.spotify.com/track/6n8TMVyFKoUmDc4apxceRD
87,6HZdbb05lEXLvcmee3ZXO2,Don't Stay,Linkin Park,Meteora,currently_listening,90.00,217.00,100.00,49.00,68.00,12A,1,2026-08-30T09:14:52.873Z,https://open.spotify.com/track/6HZdbb05lEXLvcmee3ZXO2
88,4Yf5bqU3NK4kNOypcrLYwU,Faint,Linkin Park,Meteora,currently_listening,135.00,214.00,98.00,55.00,61.00,12B,1,2026-08-30T09:14:52.874Z,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU
89,0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,Linkin Park,Minutes to Midnight,currently_listening,140.00,211.00,97.00,54.00,60.00,1B,1,2026-08-30T09:14:52.911Z,https://open.spotify.com/track/0UFDKFqW2oGspYeYqo9wjA
90,6Wx88Mv6b9ofjKMKkdwOJd,New Divide,Linkin Park,Transformers: Revenge Of The Fallen The Album,currently_listening,118.00,168.00,81.00,49.00,38.00,4A,1,2026-08-30T09:14:52.874Z,https://open.spotify.com/track/6Wx88Mv6b9ofjKMKkdwOJd
91,1zG4yTwzuB26U8A1DNheiK,KILL THE GHOST,little image,KILL THE GHOST,currently_listening,156.00,210.00,84.00,60.00,66.00,4B,1,2026-08-30T09:14:52.931Z,https://open.spotify.com/track/1zG4yTwzuB26U8A1DNheiK
92,3cbTV3IZZvSBYVcl0xuZbY,Bound For The Floor,Local H,As Good As Dead,currently_listening,119.00,176.00,53.00,65.00,58.00,2B,1,2026-08-30T09:14:52.931Z,https://open.spotify.com/track/3cbTV3IZZvSBYVcl0xuZbY
93,0JEzP25OqBOWbm5U7pC9f2,Adelaide,MEG MYERS,Daughter in the Choir,currently_listening,150.00,167.00,84.00,56.00,27.00,8B,1,2026-08-30T09:14:52.869Z,https://open.spotify.com/track/0JEzP25OqBOWbm5U7pC9f2
94,1HtrQWNpyEbGMEiwCjmPdi,Curbstomp,MEG MYERS,Daughter in the Choir,currently_listening,123.00,153.00,67.00,68.00,18.00,6A,1,2026-08-30T09:14:52.869Z,https://open.spotify.com/track/1HtrQWNpyEbGMEiwCjmPdi
95,0TkKxuAP37iUqSzQMi3CsL,Poison,MEG MYERS,Daughter in the Choir,currently_listening,123.00,200.00,65.00,71.00,64.00,8B,1,2026-08-30T09:14:52.870Z,https://open.spotify.com/track/0TkKxuAP37iUqSzQMi3CsL
96,0jsqBfVIzJaV3PJQiIilUS,Eye,MEG MYERS,Eye,currently_listening,158.00,180.00,81.00,47.00,52.00,10B,1,2026-08-30T09:14:52.883Z,https://open.spotify.com/track/0jsqBfVIzJaV3PJQiIilUS
97,3xN4BIFz9spIZ0NIHTKFGC,Feather,MEG MYERS,Sorry,currently_listening,150.00,124.00,58.00,51.00,15.00,10A,1,2026-08-30T09:14:52.871Z,https://open.spotify.com/track/3xN4BIFz9spIZ0NIHTKFGC
98,2wZBb1r0BYixj88W9VsrTl,Motel,MEG MYERS,Sorry,currently_listening,80.00,153.00,74.00,50.00,29.00,8B,1,2026-08-30T09:14:52.871Z,https://open.spotify.com/track/2wZBb1r0BYixj88W9VsrTl
99,3XMyREykeptNpvd0tE75xw,Numb,MEG MYERS,Take Me To The Disco,currently_listening,82.00,149.00,69.00,51.00,29.00,7B,1,2026-08-30T09:14:52.870Z,https://open.spotify.com/track/3XMyREykeptNpvd0tE75xw
100,2UdCAgl9eX9VevTzo4Rbyn,The Death Of Me,MEG MYERS,Take Me To The Disco,currently_listening,140.00,184.00,87.00,56.00,41.00,4B,1,2026-08-30T09:14:52.870Z,https://open.spotify.com/track/2UdCAgl9eX9VevTzo4Rbyn
101,6vemhd0tPB9kQhlgHWxVXE,Fuck Machine,Mindless Self Indulgence,How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence,currently_listening,151.00,206.00,97.00,60.00,49.00,4A,1,2026-08-30T09:14:52.924Z,https://open.spotify.com/track/6vemhd0tPB9kQhlgHWxVXE
102,3vdiOZC3opQmVvuXIPh4eg,It Gets Worse,Mindless Self Indulgence,How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence,currently_listening,150.00,234.00,98.00,63.00,73.00,2B,1,2026-08-30T09:14:52.925Z,https://open.spotify.com/track/3vdiOZC3opQmVvuXIPh4eg
103,2bPZ7cEBa5SKliThdwdiK7,Get It Up,Mindless Self Indulgence,If,currently_listening,120.00,202.00,90.00,65.00,47.00,8A,1,2026-08-30T09:14:52.921Z,https://open.spotify.com/track/2bPZ7cEBa5SKliThdwdiK7
104,1m3VVYtEre9cOkIwf7wwbV,Prove Me Wrong,Mindless Self Indulgence,MSI B-SIDES vol.1,currently_listening,144.00,244.00,89.00,76.00,79.00,10A,1,2026-08-30T09:14:52.924Z,https://open.spotify.com/track/1m3VVYtEre9cOkIwf7wwbV
105,2t7B8DDBgLbMcYVMTo8vd5,Seven Minutes in Heaven,Mindless Self Indulgence,MSI B-SIDES vol.1,currently_listening,115.00,214.00,95.00,61.00,58.00,10A,1,2026-08-30T09:14:52.924Z,https://open.spotify.com/track/2t7B8DDBgLbMcYVMTo8vd5
106,2ayu5rqFNgoMGXZNV0wWzr,Sex for Homework,Mindless Self Indulgence,MSI B-SIDES vol.1,currently_listening,144.00,246.00,90.00,68.00,88.00,2B,1,2026-08-30T09:14:52.923Z,https://open.spotify.com/track/2ayu5rqFNgoMGXZNV0wWzr
107,3oZUlZMXkj51AyYG8lGaE7,Shut Me Up,Mindless Self Indulgence,You'll Rebel to Anything (Expanded and Remastered 2008),currently_listening,174.00,218.00,80.00,59.00,79.00,3B,1,2026-08-30T09:14:52.921Z,https://open.spotify.com/track/3oZUlZMXkj51AyYG8lGaE7
108,3yP1J5mOJ8MvifFoNjA3Lx,Taste It,Modern Alibi,American Radio,currently_listening,145.00,204.00,88.00,57.00,59.00,7A,1,2026-08-30T09:14:52.886Z,https://open.spotify.com/track/3yP1J5mOJ8MvifFoNjA3Lx
109,30p9W71FA4bOHe8UH8sQic,Impossible Somedays,Modest Mouse,An Eraser And A Maze,currently_listening,110.00,181.00,74.00,59.00,48.00,8B,1,2026-08-30T09:14:52.930Z,https://open.spotify.com/track/30p9W71FA4bOHe8UH8sQic
110,7aKPErDLvieg4nJTWqCrNc,Life's a Dream,Modest Mouse,An Eraser And A Maze,currently_listening,109.00,162.00,84.00,52.00,26.00,11B,1,2026-08-30T09:14:52.856Z,https://open.spotify.com/track/7aKPErDLvieg4nJTWqCrNc
111,5jag0xI86woJjPprus5ZrF,Look How Far...,Modest Mouse,An Eraser And A Maze,currently_listening,110.00,211.00,98.00,50.00,63.00,9B,1,2026-08-30T09:14:52.929Z,https://open.spotify.com/track/5jag0xI86woJjPprus5ZrF
