#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
155,"Mouthful of Diamonds","Phantogram",100,8B,82,2026-08-20,04:13,66,"","Eyelid Movies",2010-00-00,61,14,82,22,0,10,-5,C Major,4,6zO0e11RCBnh1w8kjPZpIh,USBS50931057,no
156,"Shut Me Up","Mindless Self Indulgence",174,3B,80,2026-08-20,02:48,75,"","You'll Rebel to Anything (Expanded and Remastered 2008)",2005-00-00,59,0,0,79,10,0,-4,C♯/D♭ Major,4,3oZUlZMXkj51AyYG8lGaE7,US68L0500001,yes
157,"Get It Up","Mindless Self Indulgence",120,8A,90,2026-08-20,02:35,68,"","If",2008-04-29,65,1,0,44,10,30,-4,A Minor,4,2bPZ7cEBa5SKliThdwdiK7,US2420809921,yes
158,"You Love It","Peaches",172,3A,97,2026-08-20,03:00,19,"electroclash, riot grrrl, queercore","Impeach My Bush",2006-07-11,60,1,1,73,10,10,-4,A#/B♭ Minor,4,25PUUzWniYVAabeyZABqff,GBBKS0700615,no
159,"Tear You Apart","She Wants Revenge",153,12A,72,2026-08-20,04:44,74,"darkwave, gothic rock","She Wants Revenge",2005-01-01,58,0,0,60,0,60,-7,C♯/D♭ Minor,4,1XYHqSfJK9ud9nuRjQcbXi,USUM70503877,yes
160,"SPIT IN MY FACE!","ThxSoMch",94,4B,79,2026-08-20,02:27,82,"","SPIT IN MY FACE!",2022-12-20,73,5,2,65,0,10,-7,G#/A♭ Major,4,1N8TTK1Uoy7UvQNUazfUt5,USAT22223103,yes
161,"Savior","Rise Against",112,4A,93,2026-08-21,04:02,82,"punk, hardcore punk","Appeal To Reason",2008-01-01,55,0,0,48,0,40,-3,F Minor,4,1vcxF91pWs9uNwDROuiCPB,USUM70832584,no
162,"I Miss the Misery","Halestorm",164,8B,97,2026-08-21,03:03,70,"","The Strange Case of... (Deluxe)",2012-04-09,47,1,0,48,0,30,-2,C Major,4,3gmEzilP9BzF45wIMvA16l,USAT21200150,no
163,"Sex for Homework","Mindless Self Indulgence",144,2B,90,2026-08-30,03:14,60,"","MSI B-SIDES vol.1",2024-06-15,68,6,0,88,0,0,-7,F#/G♭ Major,4,2ayu5rqFNgoMGXZNV0wWzr,QZNWX2434219,yes
164,"Seven Minutes in Heaven","Mindless Self Indulgence",115,10A,95,2026-08-30,02:13,80,"","MSI B-SIDES vol.1",2024-06-15,61,1,0,58,10,30,-4,B Minor,4,2t7B8DDBgLbMcYVMTo8vd5,QZNWX2434220,yes
165,"Prove Me Wrong","Mindless Self Indulgence",144,10A,89,2026-08-30,03:59,53,"","MSI B-SIDES vol.1",2024-06-15,76,33,0,79,0,0,-5,B Minor,4,1m3VVYtEre9cOkIwf7wwbV,US2421090004,yes
166,"Fuck Machine","Mindless Self Indulgence",151,4A,97,2026-08-30,03:24,57,"","How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence",2013-05-14,60,0,0,49,0,0,-4,F Minor,4,6vemhd0tPB9kQhlgHWxVXE,US57M1386902,yes
167,"It Gets Worse","Mindless Self Indulgence",150,2B,98,2026-08-30,02:56,57,"","How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence",2013-05-14,63,2,0,73,10,30,-4,F#/G♭ Major,4,3vdiOZC3opQmVvuXIPh4eg,US57M1386903,yes
168,"See Out Loud","Interpol",132,10A,98,2026-08-30,04:56,65,"indie rock, post-punk","This Mirror Weighs a Ton",2026-08-28,36,0,65,16,10,30,-3,B Minor,4,32rGbTvS1MXQ8ipl0Ap8e2,USBQU2600032,no
169,"Wounded Soldier","Interpol",100,8B,83,2026-08-30,04:11,64,"indie rock, post-punk","This Mirror Weighs a Ton",2026-08-28,49,0,0,46,0,20,-6,C Major,4,37kbYkuuT3zrFNoEXUdtDS,USBQU2600034,no
170,"Wings On Fire","Interpol",124,10B,99,2026-08-30,04:15,68,"indie rock, post-punk","This Mirror Weighs a Ton",2026-08-28,51,3,27,57,0,30,-2,D Major,4,36g619h8gPXcIxOQKDLQ5D,USBQU2600035,no
171,"Ever the Actor","Interpol",88,12A,86,2026-08-30,04:53,63,"indie rock, post-punk","This Mirror Weighs a Ton",2026-08-28,42,0,12,47,0,30,-5,C♯/D♭ Minor,4,12Hk9VzSIdv3jxXW53d0M1,USBQU2600036,no
172,"Darling Thoughts","Interpol",116,12B,88,2026-08-30,03:23,61,"indie rock, post-punk","This Mirror Weighs a Ton",2026-08-28,46,0,7,55,0,20,-4,E Major,4,7mUgniAC7CXDPRU0HfkGyI,USBQU2600038,yes
173,"Wake Up","Interpol",136,12A,96,2026-08-30,04:05,62,"indie rock, post-punk","This Mirror Weighs a Ton",2026-08-28,50,0,30,77,0,20,-4,C♯/D♭ Minor,4,2JI0oiMyoO1G7V8alI8R5A,USBQU2600039,no
174,"Rotten Fruit","Modest Mouse,pkpkpkpk",108,9A,77,2026-08-30,02:59,44,"indie rock, indie, alternative rock, ","An Eraser And A Maze",2026-06-05,69,6,18,71,10,0,-6,E Minor,4,12zTAaSqarMOoH8qTOSnbo,USA2P2609808,yes
175,"Picking Dragons’ Pockets","Modest Mouse",180,1B,76,2026-08-30,04:36,56,"indie rock, indie, alternative rock","An Eraser And A Maze",2026-06-05,54,1,2,71,0,10,-5,B Major,4,5piZxrb8wpeYFr9gVcwfZl,USA2P2609800,no
176,"Look How Far...","Modest Mouse",110,9B,98,2026-08-30,01:55,44,"indie rock, indie, alternative rock","An Eraser And A Maze",2026-06-05,50,0,1,63,0,30,-5,G Major,4,5jag0xI86woJjPprus5ZrF,USA2P2609813,yes
177,"Impossible Somedays","Modest Mouse",110,8B,74,2026-08-30,04:37,46,"indie rock, indie, alternative rock","An Eraser And A Maze",2026-06-05,59,0,25,48,0,10,-5,C Major,4,30p9W71FA4bOHe8UH8sQic,USA2P2609814,no
178,"WOW","The Royal Foundry",91,9A,86,2026-08-30,04:45,39,"","WOW",2026-08-21,62,0,0,35,10,20,-7,E Minor,4,1nHrElFYSY5up8fveIVFi4,CAK4V2600001,no
179,"Enemy","Father Of Peace",170,11A,66,2026-08-30,03:34,66,"","The Year Of Madness",2024-09-20,35,22,0,35,0,10,-8,F#/G♭ Minor,4,3PTjxRUcTRSBfKcM5xrIsC,QZTAT2468231,no
180,"KILL THE GHOST","little image",156,4B,84,2026-08-30,03:02,50,"","KILL THE GHOST",2026-03-27,60,4,0,66,0,0,-5,G#/A♭ Major,4,1zG4yTwzuB26U8A1DNheiK,USHR12551570,no
181,"Bound For The Floor","Local H",119,2B,53,2026-08-30,03:42,78,"grunge, post-grunge","As Good As Dead",1996-01-01,65,0,2,58,0,0,-7,F#/G♭ Major,4,3cbTV3IZZvSBYVcl0xuZbY,USIR29600091,no
182,"Sad In Carolina","Dexter and The Moonrocks",153,12A,82,2026-08-30,03:10,67,"","Sad In Carolina (Live From Ft. Worth, TX)",2024-09-04,45,0,0,36,0,20,-5,C♯/D♭ Minor,4,7pme6B95kKItToxKNCGIY8,QZ22S2400044,no
183,"Read My Mind","The Killers",132,3B,92,2026-08-30,04:06,76,"alternative rock","Sam's Town",2006-09-27,54,1,0,33,0,10,-3,C♯/D♭ Major,4,7cX4PJz1old9fyFI8RlfgW,USUM70605406,no
184,"Upside","Porch Light",88,11A,60,2026-08-30,03:46,65,"","Navy Blue",2025-10-17,50,4,16,17,0,20,-4,F#/G♭ Minor,4,46i6oWlLNJVhUPaRnWX6v0,QZJ842504692,no
185,"Slumber Party","Brigitte Calls Me Baby",163,8B,92,2026-08-30,04:01,48,"","Irreversible",2026-03-13,38,0,1,44,0,0,-3,C Major,4,6h3r7L7WDISr3wYUG2p6Id,USATO2500465,no
186,".CoDA.","Dead Poet Society",120,4B,62,2026-08-30,03:44,56,"","-!- (Deluxe)",2021-12-03,56,0,0,49,0,30,-6,G#/A♭ Major,4,1PlzMAYlt0Qziq9Q1AOcv7,GBUM72003966,yes
187,"One By One","The Blue Stones",91,8B,73,2026-08-30,04:11,63,"blues rock","Hidden Gems",2021-03-19,61,7,0,55,0,50,-8,C Major,4,1CXwDEBidzJwJYMqHK3tG4,CAK472002202,no
188,"Be My Fire","The Blue Stones",96,12A,89,2026-08-30,03:13,62,"blues rock","Black Holes",2018-10-26,48,0,0,49,0,10,-6,C♯/D♭ Minor,4,1lctRlmXFqukXxW4Gjm5HJ,USKO11800761,no
189,"Baby","Bishop Briggs",140,11A,59,2026-08-30,03:14,43,"","Baby",2018-08-17,66,0,0,21,0,20,-6,F#/G♭ Minor,4,21vwWfS6qvxh8TN3lgHvZr,QMEU31723317,yes
190,"Oceans","The Blue Stones",120,3B,59,2026-08-30,05:09,49,"blues rock","Hidden Gems",2021-03-19,36,3,25,27,0,10,-9,C♯/D♭ Major,4,5WBC810TFCRBPvxFJ792ed,CAK472002207,no
191,"Chlorine","Twenty One Pilots",90,3A,67,2026-08-30,05:24,82,"","Trench",2018-10-05,61,7,6,32,0,30,-7,A#/B♭ Minor,4,23OXdR7YuUBVWh5hSnYJau,USAT21810687,no
192,"Pet Cheetah","Twenty One Pilots",110,6A,68,2026-08-30,03:18,64,"","Trench",2018-10-05,65,6,0,36,20,20,-7,G Minor,4,7daBwTiPNOVgoMUG4SICgh,USAT21810693,no
193,"Kamikaze","WALK THE MOON",78,3B,69,2026-08-30,03:16,51,"","What If Nothing",2017-11-10,57,2,0,44,0,10,-6,C♯/D♭ Major,4,3YQ96qkxiEwTLwgu2Izcmq,USRC11702169,no
194,"The Riders of Red Hook (Legends Never Die)","Des Rocs",105,4B,96,2026-08-30,05:31,42,"","To Hell and Back",2026-06-12,21,0,0,18,10,10,-3,G#/A♭ Major,3,6xI8wwjVEd2k60famFnqNX,USFYZ2557612,no
195,"Exit Signs","LEAP",83,9A,88,2026-08-30,04:28,68,"","Entropy",2025-10-03,47,0,10,49,0,60,-5,E Minor,4,6mULitaDKOmZIRIvmg7iSl,USA2P2328852,yes
196,"Over & Out","LEAP",101,12B,93,2026-08-30,03:01,56,"","Entropy",2025-10-03,50,0,5,52,0,70,-5,E Major,4,7tb2OZwLHhleZqv4oslOA0,GBMJG2509786,no
197,"Deleted","Hidden Pillars",90,8B,84,2026-08-30,03:02,52,"","Deleted",2022-09-16,58,1,0,53,0,20,-2,C Major,4,5Ye1UOlgEP1NOpcCx30MFF,AUMEV2280704,no
198,"San Francisco","The Lonely Biscuits",101,11B,55,2026-09-14,03:30,42,"","The Universe in You",2018-03-30,57,2,0,48,0,0,-7,A Major,4,04zvSxcRRhSP3VK0PwgHbe,GBKPL1784418,no
199,"Self Portrait","Surf Curse",152,10B,80,2026-09-14,03:32,34,"indie","Self Portrait",2022-09-07,58,5,1,65,0,10,-4,D Major,4,5IssEtH38Bs8vpGOoVnLlh,USAT22209048,no
200,"Black Hole Sun","Soundgarden",105,2B,83,2026-09-11,05:18,81,"grunge, post-grunge, hard rock","Superunknown (Deluxe Edition)",1994-03-09,35,0,0,15,0,0,-5,F#/G♭ Major,4,2EoOZnxNgtmZaD8uUmz2nD,USAM19400007,no
201,"Black Hole Sun","Brandi Carlile",107,6A,74,2026-09-11,06:16,34,"folk, americana","A Rooster Says",2021-01-01,28,0,0,22,0,0,-5,G Minor,4,1I0HP5h8Gkc5BbO27u7xUj,USAT22000167,no
202,"Black Hole Sun","Hazen",111,3B,86,2026-09-11,05:08,6,"","Black Hole Sun",2019-03-15,50,0,0,21,0,20,-3,C♯/D♭ Major,4,3IJ0acnFu9c1gb3683Dxhw,QZES51960952,no
203,"Zombie","The Cranberries",167,9B,65,2026-09-11,05:06,22,"","No Need To Argue (The Complete Sessions 1994-1995)",1994-10-03,31,2,1,31,0,30,-9,G Major,4,7EZC6E7UjZe63f1jRmkWxt,USIR29400443,no
204,"What I've Done - Unshatter Film Soundtrack - Live in São Paulo","Linkin Park",120,3A,94,2026-09-14,03:31,0,"nu metal, rap metal, rock, alternative metal","Unshatter Film Soundtrack (Live in São Paulo)",2026-09-25,55,1,0,42,0,90,-5,A#/B♭ Minor,4,043TnILbwnO6PsRcNTZ6cP,USWB12601064,no
205,"Fake Tales Of San Francisco","Arctic Monkeys",127,11B,78,2026-09-14,02:57,68,"indie, garage rock","Whatever People Say I Am, That's What I'm Not",2006-01-29,45,1,0,70,0,0,-4,A Major,4,7BuzJmV2h6eBbSDdRaDY7C,GBCEL0501182,yes
