rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
23,2AT8iROs4FQueDv2c8q2KE,R U Mine,Arctic Monkeys,AM,yes,167.00,76.00,29.00,62.00,97.00,11A,1,8.12,1.500,0.7869,0.1386,0.9593,2.2047,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE
24,3wFFW1B6WAmAFGOwdEOOZR,Drop The Game,"Flume,Chet Faker",Lockjaw,maybe,166.00,67.00,56.00,43.00,79.00,9B,1,5.78,0.600,0.8384,0.1386,1.0446,0.9764,https://open.spotify.com/track/3wFFW1B6WAmAFGOwdEOOZR
25,57ZM2wVnGENpoSR1meI7YA,Feel Fine,Augustana,All The Stars and Boulevards,maybe,185.00,91.00,49.00,45.00,134.00,10B,1,8.10,0.600,0.7875,0.1386,1.0488,0.9643,https://open.spotify.com/track/57ZM2wVnGENpoSR1meI7YA
26,166u1Cs46FmXoOaTGxh8aB,Out Of Control,Hoobastank,The Reason (20th Anniversary),maybe,187.00,97.00,44.00,46.00,158.00,9A,1,9.73,0.600,0.7551,0.1386,1.0408,0.9469,https://open.spotify.com/track/166u1Cs46FmXoOaTGxh8aB
27,5l2Umj2nI73rKCgOqPjyQK,Breathe,Backstreet Boys,In a World Like This,maybe,167.00,63.00,63.00,41.00,106.00,9B,1,8.10,0.600,0.7874,0.1386,1.0164,0.9345,https://open.spotify.com/track/5l2Umj2nI73rKCgOqPjyQK
28,0hi5V0ExKfjCz9zLxhVAcl,Bare Wit Me,Teyana Taylor,The Album,maybe,173.00,50.00,73.00,50.00,118.00,4A,1,5.76,0.600,0.8389,0.1386,0.9924,0.9277,https://open.spotify.com/track/0hi5V0ExKfjCz9zLxhVAcl
29,23IJ5wLRhEZ9DOuia5mPiZ,Who Are You,The Who,Who Are You,maybe,179.00,65.00,65.00,49.00,156.00,11B,1,6.83,0.600,0.8145,0.1386,0.9987,0.9264,https://open.spotify.com/track/23IJ5wLRhEZ9DOuia5mPiZ
30,3tYxKs4D1Xqyt9xR8soVdr,Is It Real,"Flume,JPEGMAFIA,Ravyn Lenae",We Live In A Society,maybe,170.00,78.00,45.00,47.00,151.00,8B,1,5.79,0.600,0.8383,0.1386,0.9850,0.9207,https://open.spotify.com/track/3tYxKs4D1Xqyt9xR8soVdr
31,0q75NwOoFiARAVp4EXU4Bs,Love Galore,"SZA,Travis Scott",Ctrl,maybe,180.00,59.00,80.00,41.00,135.00,8B,1,5.77,0.600,0.8387,0.1386,0.9836,0.9194,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
32,6uQe7SVjdDlRqDRAi0qnKg,Talking,Elderbrook,Talking,maybe,189.00,57.00,90.00,42.00,115.00,4B,1,9.72,0.600,0.7553,0.1386,1.0049,0.9143,https://open.spotify.com/track/6uQe7SVjdDlRqDRAi0qnKg
33,45AbDqJVqVU7nOxtW4SUTG,Facing My Fear,Cortes,Facing My Fear,maybe,186.00,81.00,41.00,64.00,168.00,11A,1,9.73,0.600,0.7551,0.1386,0.9847,0.8958,https://open.spotify.com/track/45AbDqJVqVU7nOxtW4SUTG
