rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
82,06IZo6f9idHrryBnFoyoHd,Boys Wanna Be Her,Peaches,Impeach My Bush,favorites_archive,139.00,201.00,51.00,78.00,72.00,10B,1,2026-07-12T21:43:59.653Z,https://open.spotify.com/track/06IZo6f9idHrryBnFoyoHd
83,18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),favorites_archive,190.00,99.00,24.00,45.00,30.00,8B,1,2026-07-13T02:40:15.307Z,https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb
84,24IdPCimVnJJDRuB5YSDiS,I Don't Care Anymore - 2016 Remaster,Phil Collins,"Hello, I Must Be Going! (Deluxe Edition)",favorites_archive,140.00,156.00,42.00,70.00,44.00,1B,1,2026-07-13T02:40:01.120Z,https://open.spotify.com/track/24IdPCimVnJJDRuB5YSDiS
85,68hYdj3GepWm2R202KhJT7,1901,Phoenix,Wolfgang Amadeus Phoenix,favorites_archive,144.00,214.00,83.00,60.00,71.00,8B,1,2026-07-12T04:32:58.705Z,https://open.spotify.com/track/68hYdj3GepWm2R202KhJT7
86,0vFOzaXqZHahrZp6enQwQb,Money,Pink Floyd,The Dark Side of the Moon,favorites_archive,126.00,180.00,54.00,47.00,79.00,10A,1,2026-07-12T21:41:46.724Z,https://open.spotify.com/track/0vFOzaXqZHahrZp6enQwQb
87,3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,The Dark Side of the Moon,favorites_archive,120.00,120.00,48.00,36.00,36.00,11B,1,2026-07-12T21:40:37.765Z,https://open.spotify.com/track/3TO7bbrUKrOSPGRTB5MeCz
88,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",Pink Floyd,The Wall,favorites_archive,104.00,180.00,39.00,69.00,72.00,8B,1,2026-07-12T21:41:12.437Z,https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV
89,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,Pink Floyd,The Wall,favorites_archive,127.00,101.00,37.00,47.00,17.00,10A,1,2026-07-12T21:41:24.410Z,https://open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC
90,5HAjss9faCAowGY8dM24r6,Is There Anybody Out There,Pink Floyd,The Wall,favorites_archive,119.00,42.00,7.00,31.00,4.00,8A,1,2026-07-12T21:40:59.701Z,https://open.spotify.com/track/5HAjss9faCAowGY8dM24r6
91,6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,Wish You Were Here,favorites_archive,123.00,112.00,26.00,48.00,38.00,9B,1,2026-07-12T03:19:21.552Z,https://open.spotify.com/track/6mFkJmJqdDVQ1REhVfGgd1
92,7w57O4o0xCTn9YpKuaPZDd,The Great Beyond,R.E.M.,In Time: The Best Of R.E.M. 1988-2003,favorites_archive,110.00,126.00,75.00,33.00,18.00,6B,1,2026-07-12T01:20:47.119Z,https://open.spotify.com/track/7w57O4o0xCTn9YpKuaPZDd
93,0YJ9FWWHn9EfnN0lHwbzvV,Jigsaw Falling Into Place,Radiohead,In Rainbows,favorites_archive,166.00,210.00,83.00,46.00,81.00,10A,1,2026-07-12T21:08:29.154Z,https://open.spotify.com/track/0YJ9FWWHn9EfnN0lHwbzvV
94,1y3NV3N99VoSP4crdkbog7,Drop Stop Roll,Rainbow Kitten Surprise,Drop Stop Roll,favorites_archive,105.00,177.00,67.00,73.00,37.00,4B,1,2026-07-12T20:52:08.784Z,https://open.spotify.com/track/1y3NV3N99VoSP4crdkbog7
95,474uVhyGgK5MtY9gMcDgGl,It's Called: Freefall,Rainbow Kitten Surprise,"How to: Friend, Love, Freefall",favorites_archive,98.00,154.00,52.00,74.00,28.00,10B,1,2026-07-12T20:43:30.567Z,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl
96,3u1f75MWE7gsMhZ4bBaZ4U,All's Well That Ends,Rainbow Kitten Surprise,RKS,favorites_archive,120.00,129.00,48.00,63.00,18.00,12B,1,2026-07-12T03:20:02.637Z,https://open.spotify.com/track/3u1f75MWE7gsMhZ4bBaZ4U
97,0ZAbupc7jAQpG9IxojQ3s3,Cocaine Jesus,Rainbow Kitten Surprise,RKS,favorites_archive,120.00,134.00,36.00,82.00,16.00,10B,1,2026-07-12T20:41:18.331Z,https://open.spotify.com/track/0ZAbupc7jAQpG9IxojQ3s3
98,02ag51uxrMyesCjFZvGkGQ,Cold Love,Rainbow Kitten Surprise,RKS,favorites_archive,115.00,111.00,26.00,62.00,23.00,7B,1,2026-07-12T20:41:29.438Z,https://open.spotify.com/track/02ag51uxrMyesCjFZvGkGQ
99,4N6mfzZarbwBGfRoAFzt8e,Counting Cards,Rainbow Kitten Surprise,RKS,favorites_archive,110.00,167.00,59.00,76.00,32.00,8A,1,2026-07-12T20:40:47.439Z,https://open.spotify.com/track/4N6mfzZarbwBGfRoAFzt8e
100,6Ey1C21IUiGRBPOeal2qMc,American Hero,Rainbow Kitten Surprise,Seven + Mary,favorites_archive,125.00,140.00,53.00,70.00,17.00,9A,1,2026-07-12T20:41:05.011Z,https://open.spotify.com/track/6Ey1C21IUiGRBPOeal2qMc
101,5VJe8OKFcPBBjNEAPUeDuJ,Devil Like Me,Rainbow Kitten Surprise,Seven + Mary,favorites_archive,123.00,187.00,63.00,68.00,56.00,10B,1,2026-07-12T20:39:06.586Z,https://open.spotify.com/track/5VJe8OKFcPBBjNEAPUeDuJ
102,0uQxV7ysuBPhbfUkW1WOCp,First Class,Rainbow Kitten Surprise,Seven + Mary,favorites_archive,90.00,111.00,34.00,55.00,22.00,3B,1,2026-07-12T20:41:48.433Z,https://open.spotify.com/track/0uQxV7ysuBPhbfUkW1WOCp
103,63GEVDE0TPzHCkeb6wV6jo,Hey Pretty Momma,Rainbow Kitten Surprise,Seven + Mary,favorites_archive,79.00,90.00,32.00,40.00,18.00,9A,1,2026-07-12T20:52:29.324Z,https://open.spotify.com/track/63GEVDE0TPzHCkeb6wV6jo
104,1z9kQ14XBSN0r2v6fx4IdG,Diamonds,Rihanna,Unapologetic (Edited Version),favorites_archive,92.00,167.00,71.00,56.00,40.00,10A,1,2026-07-12T06:36:30.108Z,https://open.spotify.com/track/1z9kQ14XBSN0r2v6fx4IdG
105,0pdfN7nOHMYmKykzu1cyfm,Any Man Of Mine,Shania Twain,The Woman In Me,favorites_archive,78.00,210.00,73.00,59.00,78.00,4B,1,2026-07-12T05:59:30.667Z,https://open.spotify.com/track/0pdfN7nOHMYmKykzu1cyfm
106,4xigPf2sigSPmuFH3qCelB,Genius,"Sia,Diplo,Labrinth,LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",favorites_archive,159.00,178.00,62.00,60.00,56.00,10A,1,2026-07-13T00:26:03.390Z,https://open.spotify.com/track/4xigPf2sigSPmuFH3qCelB
107,5hnyJvgoWiQUYZttV4wXy6,Chasing Cars,Snow Patrol,Eyes Open,favorites_archive,104.00,130.00,60.00,56.00,14.00,11B,1,2026-07-12T20:36:14.705Z,https://open.spotify.com/track/5hnyJvgoWiQUYZttV4wXy6
108,58E1XVmZTODC67YNjneuXM,Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,favorites_archive,144.00,162.00,45.00,54.00,63.00,6A,1,2026-07-12T21:43:02.330Z,https://open.spotify.com/track/58E1XVmZTODC67YNjneuXM
109,4SGBuq37Ol4HJr7pQqFMKa,I Got You Babe,Sonny & Cher,Look At Us,favorites_archive,111.00,203.00,80.00,63.00,60.00,2B,1,2026-07-12T21:33:31.632Z,https://open.spotify.com/track/4SGBuq37Ol4HJr7pQqFMKa
110,4hWUOIDHda9XOb1zDchftP,Too Much Time On My Hands,Styx,Paradise Theatre,favorites_archive,131.00,209.00,40.00,80.00,89.00,10A,1,2026-07-12T21:09:56.025Z,https://open.spotify.com/track/4hWUOIDHda9XOb1zDchftP
111,54g63GAn77x9NcjiLzy7cW,Queen Of Spades,Styx,Pieces Of Eight,favorites_archive,135.00,83.00,45.00,26.00,12.00,12A,1,2026-07-12T21:09:41.484Z,https://open.spotify.com/track/54g63GAn77x9NcjiLzy7cW
112,6fTgbkBiMITtHUmik95ClX,MakeDamnSure,Taking Back Sunday,Louder Now (Deluxe Edition),favorites_archive,140.00,182.00,84.00,55.00,43.00,2B,1,2026-07-12T21:31:19.155Z,https://open.spotify.com/track/6fTgbkBiMITtHUmik95ClX
