rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,4SRShYMtFIGgnOU7iBicMH,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,currently_listening,174.00,184.00,74.00,45.00,65.00,10B,1,2026-08-13T07:51:30.786Z,https://open.spotify.com/track/4SRShYMtFIGgnOU7iBicMH
2,3stOygN0I7CIvkEB2LJGbv,Survival,Eminem,The Marshall Mathers LP2 (Deluxe),currently_listening,176.00,180.00,90.00,46.00,44.00,10B,1,2026-08-13T07:51:30.794Z,https://open.spotify.com/track/3stOygN0I7CIvkEB2LJGbv
3,4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,Drake,0 To 100 / The Catch Up,currently_listening,177.00,178.00,72.00,56.00,50.00,10A,1,2026-08-13T07:51:30.794Z,https://open.spotify.com/track/4jtyUzZm9WLc2AdaJ1dso7
4,1GHqc0e7PQ6aEyGlvfSJzS,Where'd You Go (feat. Holly Brook & Jonah Matranga),"Fort Minor,Holly Brook,Jonah Matranga",The Rising Tied (Deluxe Edition),currently_listening,180.00,176.00,82.00,68.00,26.00,12A,1,2026-08-13T07:51:30.833Z,https://open.spotify.com/track/1GHqc0e7PQ6aEyGlvfSJzS
5,1x075F39Q0zOhjPzPKgG8E,Baby By Me,"50 Cent,Ne-Yo",Before I Self-Destruct,currently_listening,190.00,180.00,83.00,61.00,36.00,5A,1,2026-08-13T07:51:30.835Z,https://open.spotify.com/track/1x075F39Q0zOhjPzPKgG8E
6,3nfVBXYJtRWeNxHMSMvIsE,Gangsta Bop,Akon,Konvicted,currently_listening,176.00,194.00,35.00,76.00,83.00,4A,1,2026-08-13T07:51:30.823Z,https://open.spotify.com/track/3nfVBXYJtRWeNxHMSMvIsE
7,4B5lSnWRFiJx8XghHeTJhc,ZAMA ZAMA,Die Antwoord,ZAMA ZAMA,currently_listening,175.00,213.00,83.00,76.00,54.00,3B,1,2026-08-13T07:51:30.780Z,https://open.spotify.com/track/4B5lSnWRFiJx8XghHeTJhc
8,4SVlgCR8RCbdrbzIgln1Un,BOY CRAZY.,Kesha,.,currently_listening,180.00,217.00,81.00,54.00,82.00,3B,1,2026-08-13T07:51:30.817Z,https://open.spotify.com/track/4SVlgCR8RCbdrbzIgln1Un
9,1mavQ4WCzXSeL2Dm5DS4GQ,Legacy,Eminem,The Marshall Mathers LP2 (Deluxe),currently_listening,164.00,209.00,90.00,66.00,53.00,8A,1,2026-08-13T07:51:30.795Z,https://open.spotify.com/track/1mavQ4WCzXSeL2Dm5DS4GQ
10,3NDPcoeno6oasqi6Hs75Ax,Alphabet Boy,Melanie Martinez,Cry Baby (Deluxe Edition),currently_listening,155.00,202.00,85.00,65.00,52.00,8B,1,2026-08-13T07:51:30.847Z,https://open.spotify.com/track/3NDPcoeno6oasqi6Hs75Ax
11,6Px7oJcPvMWLhwRHmao0Fe,LUCID DREAMS (feat. Masego),"Leon Thomas,Masego",MUTT,currently_listening,155.00,193.00,64.00,73.00,56.00,6A,1,2026-08-13T07:51:30.838Z,https://open.spotify.com/track/6Px7oJcPvMWLhwRHmao0Fe
12,454h9zAIuTe1eJyw9iTnj4,Man Down,Rihanna,Loud,currently_listening,156.00,193.00,91.00,48.00,54.00,5A,1,2026-08-13T07:51:30.836Z,https://open.spotify.com/track/454h9zAIuTe1eJyw9iTnj4
