rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,6zajnNcHhrRd833CT2LIeB,Rhythm Of Love,Danity Kane,DK3,currently_listening,128.00,203.00,68.00,69.00,66.00,8B,1,2026-08-16T09:10:57.184Z,https://open.spotify.com/track/6zajnNcHhrRd833CT2LIeB
2,6JH9yWhgbm0y9iAJhCslNc,Handlebars,Flobots,Fight With Tools,currently_listening,142.00,179.00,57.00,70.00,52.00,7B,1,2026-08-16T09:10:57.168Z,https://open.spotify.com/track/6JH9yWhgbm0y9iAJhCslNc
3,2mNGL7mZILSqZHxGboJaO9,COMË N GO,Yeat,DANGEROUS SUMMER,currently_listening,145.00,179.00,59.00,90.00,30.00,8A,1,2026-08-16T09:10:57.208Z,https://open.spotify.com/track/2mNGL7mZILSqZHxGboJaO9
4,1QoyuMHNBe7lg3YW4Qtll4,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator,Daniel Caesar",CHROMAKOPIA,currently_listening,150.00,183.00,88.00,58.00,37.00,8B,1,2026-08-16T09:10:57.224Z,https://open.spotify.com/track/1QoyuMHNBe7lg3YW4Qtll4
5,6Px7oJcPvMWLhwRHmao0Fe,LUCID DREAMS (feat. Masego),"Leon Thomas,Masego",MUTT,currently_listening,155.00,193.00,64.00,73.00,56.00,6A,1,2026-08-16T09:10:57.208Z,https://open.spotify.com/track/6Px7oJcPvMWLhwRHmao0Fe
6,454h9zAIuTe1eJyw9iTnj4,Man Down,Rihanna,Loud,currently_listening,156.00,193.00,91.00,48.00,54.00,5A,1,2026-08-16T09:10:57.207Z,https://open.spotify.com/track/454h9zAIuTe1eJyw9iTnj4
7,56rpEOCBATYItSa4yPksfe,Little Girl Gone,CHINCHILLA,Little Girl Gone,currently_listening,160.00,188.00,67.00,71.00,50.00,12A,1,2026-08-16T09:10:57.177Z,https://open.spotify.com/track/56rpEOCBATYItSa4yPksfe
8,4xigPf2sigSPmuFH3qCelB,"Genius (feat. Sia, Diplo, and Labrinth)","Sia,Diplo,Labrinth,LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",currently_listening,159.00,178.00,62.00,60.00,56.00,10A,1,2026-08-16T09:10:57.224Z,https://open.spotify.com/track/4xigPf2sigSPmuFH3qCelB
9,2byJqu4cw657Y7G6nFogkG,cut my hair,Tate McRae,THINK LATER,currently_listening,164.00,176.00,71.00,60.00,45.00,7A,1,2026-08-16T09:10:57.173Z,https://open.spotify.com/track/2byJqu4cw657Y7G6nFogkG
10,57dgrvCuTiqY4Sc6EsP97R,BASMF,3OH!3,NIGHT SPORTS,currently_listening,160.00,170.00,68.00,64.00,38.00,6A,1,2026-08-16T09:10:57.176Z,https://open.spotify.com/track/57dgrvCuTiqY4Sc6EsP97R
11,6XAA7T9VHcqKQSzjmXAJ8o,That's All She Wrote,"T.I.,Eminem",No Mercy,currently_listening,170.00,165.00,79.00,50.00,36.00,9B,1,2026-08-16T09:10:57.204Z,https://open.spotify.com/track/6XAA7T9VHcqKQSzjmXAJ8o
12,4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,Drake,0 To 100 / The Catch Up,currently_listening,177.00,178.00,72.00,56.00,50.00,10A,1,2026-08-16T09:10:57.165Z,https://open.spotify.com/track/4jtyUzZm9WLc2AdaJ1dso7
