rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
97,1sSNrDbb7hEptYOXaiOnUm,Climbing the Walls,Backstreet Boys,Never Gone,maybe,159.00,87.00,49.00,23.00,91.00,7B,1,1.25,0.600,0.9599,0.1386,0.9836,0.9552,https://open.spotify.com/track/1sSNrDbb7hEptYOXaiOnUm
98,1pNVVLBd1HNvTiitcuC3HZ,Main Street,Angus & Julia Stone,Angus & Julia Stone (Deluxe),maybe,147.00,52.00,74.00,21.00,134.00,12A,1,1.26,0.600,0.9596,0.1386,0.9813,0.9529,https://open.spotify.com/track/1pNVVLBd1HNvTiitcuC3HZ
99,5HAjss9faCAowGY8dM24r6,Is There Anybody Out There,Pink Floyd,The Wall,maybe,42.00,7.00,31.00,4.00,119.00,8A,1,1.30,0.600,0.9586,0.1386,0.9813,0.9526,https://open.spotify.com/track/5HAjss9faCAowGY8dM24r6
100,5Ut5dDKfBUCMsWQbc3Lgyi,Holiest,"Glass Animals,Tei Shi",Gooey,maybe,164.00,63.00,51.00,50.00,132.00,4A,1,1.22,0.600,0.9609,0.1386,0.9799,0.9519,https://open.spotify.com/track/5Ut5dDKfBUCMsWQbc3Lgyi
101,520goNMASTZp31CQCcSvwR,Tourniquet,MEG MYERS,Take Me To The Disco,maybe,143.00,75.00,46.00,22.00,105.00,8A,1,0.17,0.600,0.9943,0.1386,0.9684,0.9505,https://open.spotify.com/track/520goNMASTZp31CQCcSvwR
102,7DdXf9x75iEVCHWfoRwRuR,Fitzpleasure,alt-J,An Awesome Wave,maybe,153.00,59.00,58.00,36.00,144.00,11B,1,1.22,0.600,0.9609,0.1386,0.9745,0.9466,https://open.spotify.com/track/7DdXf9x75iEVCHWfoRwRuR
103,0L3di3gB5KlamEABLJK8KK,Your Biggest Fan,Never Shout Never,Me and My Uke,maybe,158.00,31.00,74.00,53.00,125.00,8B,1,1.25,0.600,0.9601,0.1386,0.9689,0.9410,https://open.spotify.com/track/0L3di3gB5KlamEABLJK8KK
104,6RJoqL7C1kEN6IL8zV6auG,Sunday Best,Augustana,All The Stars and Boulevards,maybe,163.00,69.00,54.00,40.00,142.00,11B,1,0.19,0.600,0.9936,0.1386,0.9562,0.9383,https://open.spotify.com/track/6RJoqL7C1kEN6IL8zV6auG
105,5ULG2PLrYFHu2yan0Qutqe,Cliffy,Matt Maeson,The Hearse,maybe,125.00,46.00,72.00,7.00,120.00,11A,1,1.25,0.600,0.9601,0.1386,0.9657,0.9379,https://open.spotify.com/track/5ULG2PLrYFHu2yan0Qutqe
106,4wFXTN7ADsBxIyJfzvaHGf,What's Wrong,Foreign Air,Smile,maybe,133.00,72.00,31.00,30.00,176.00,6B,1,1.28,0.600,0.9592,0.1386,0.9655,0.9374,https://open.spotify.com/track/4wFXTN7ADsBxIyJfzvaHGf
107,7LXVDbbx0NY6zJZbdUUaVx,Where Have You Been,Manchester Orchestra,I'm Like a Virgin Losing a Child,maybe,132.00,42.00,69.00,21.00,136.00,12B,1,1.26,0.600,0.9596,0.1386,0.9651,0.9372,https://open.spotify.com/track/7LXVDbbx0NY6zJZbdUUaVx
108,0LdIVAcALGjlmKnwN36WMg,Fall Back,Lithe,Fall Back / Selfish Game,maybe,149.00,16.00,87.00,46.00,126.00,2A,1,1.26,0.600,0.9597,0.1386,0.9642,0.9363,https://open.spotify.com/track/0LdIVAcALGjlmKnwN36WMg
109,1q4L3WSZSygxR2GjuFswAF,It Could Be Nice,Chet Faker,Hotel Surrender (Expanded Edition),maybe,115.00,37.00,64.00,14.00,131.00,12A,1,1.26,0.600,0.9597,0.1386,0.9519,0.9244,https://open.spotify.com/track/1q4L3WSZSygxR2GjuFswAF
