packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
79,4,5tvMPInkVFU1YQJZnQzEEL,5JO7yGfeJKYjbOXRRdNk64,maybe,If I Go,Ella Eyre,Ella Eyre,148.000,192.000,1,1.158755,https://open.spotify.com/track/5JO7yGfeJKYjbOXRRdNk64
80,1,2vfshZvISOKy2Je7wQBWOV,2vfshZvISOKy2Je7wQBWOV,maybe,Valentine's Day,Linkin Park,Minutes to Midnight,108.000,171.000,1,0.000000,https://open.spotify.com/track/2vfshZvISOKy2Je7wQBWOV
80,2,2vfshZvISOKy2Je7wQBWOV,5TTGoX70AFrTvuEtqHK37S,maybe,No. 1 Party Anthem,Arctic Monkeys,AM,115.000,181.000,1,0.428899,https://open.spotify.com/track/5TTGoX70AFrTvuEtqHK37S
80,3,2vfshZvISOKy2Je7wQBWOV,520goNMASTZp31CQCcSvwR,maybe,Tourniquet,MEG MYERS,Take Me To The Disco,105.000,143.000,2,0.834818,https://open.spotify.com/track/520goNMASTZp31CQCcSvwR
80,4,2vfshZvISOKy2Je7wQBWOV,1sSNrDbb7hEptYOXaiOnUm,maybe,Climbing the Walls,Backstreet Boys,Never Gone,91.000,159.000,1,0.903094,https://open.spotify.com/track/1sSNrDbb7hEptYOXaiOnUm
81,1,1q4L3WSZSygxR2GjuFswAF,1q4L3WSZSygxR2GjuFswAF,maybe,It Could Be Nice,Chet Faker,Hotel Surrender (Expanded Edition),131.000,115.000,1,0.000000,https://open.spotify.com/track/1q4L3WSZSygxR2GjuFswAF
81,2,1q4L3WSZSygxR2GjuFswAF,0ft93Dt7MUQpjqLbVEBN59,maybe,Heart Heart Head,MEG MYERS,Make a Shadow,125.000,97.000,1,0.503507,https://open.spotify.com/track/0ft93Dt7MUQpjqLbVEBN59
81,3,1q4L3WSZSygxR2GjuFswAF,6UWmNaS12bUJzFBuQB6e7j,maybe,Grave Digger,Matt Maeson,Grave Digger,140.000,137.000,1,0.664828,https://open.spotify.com/track/6UWmNaS12bUJzFBuQB6e7j
81,4,1q4L3WSZSygxR2GjuFswAF,2IpeTEPICyB66jjg2hU4Vg,maybe,Didn't I,OneRepublic,Human (Deluxe),124.000,146.000,2,0.933139,https://open.spotify.com/track/2IpeTEPICyB66jjg2hU4Vg
82,1,4N7159SXtxwObOFhimCLGW,4N7159SXtxwObOFhimCLGW,maybe,Fences,Phoenix,Wolfgang Amadeus Phoenix,113.000,184.000,1,0.000000,https://open.spotify.com/track/4N7159SXtxwObOFhimCLGW
82,2,4N7159SXtxwObOFhimCLGW,6lx0wqoIBxSJgd033dJxvj,maybe,Fortune Teller,Maroon 5,Overexposed (Deluxe),120.000,184.000,2,0.567839,https://open.spotify.com/track/6lx0wqoIBxSJgd033dJxvj
82,3,4N7159SXtxwObOFhimCLGW,0Fifn4lBIGM5LG18Whp1Dx,maybe,Corners,The Fray,Through the Years: The Best of The Fray,126.000,164.000,1,0.761835,https://open.spotify.com/track/0Fifn4lBIGM5LG18Whp1Dx
82,4,4N7159SXtxwObOFhimCLGW,5qUrVPh2XRNuDLkkyAEuNQ,maybe,Figure It Out,Maroon 5,The B-Side Collection,100.000,190.000,2,0.773332,https://open.spotify.com/track/5qUrVPh2XRNuDLkkyAEuNQ
83,1,5oLP3yTZ7oQlRJ8bSCWvzN,5oLP3yTZ7oQlRJ8bSCWvzN,maybe,Better,OneRepublic,Oh My My,136.000,192.000,1,0.000000,https://open.spotify.com/track/5oLP3yTZ7oQlRJ8bSCWvzN
83,2,5oLP3yTZ7oQlRJ8bSCWvzN,618DIJLSOg5ffmXaFFRsnv,maybe,Fangs,Night Riots,Fangs,145.000,183.000,2,0.609536,https://open.spotify.com/track/618DIJLSOg5ffmXaFFRsnv
83,3,5oLP3yTZ7oQlRJ8bSCWvzN,0JEzP25OqBOWbm5U7pC9f2,maybe,Adelaide,MEG MYERS,Daughter in the Choir,150.000,167.000,1,0.788390,https://open.spotify.com/track/0JEzP25OqBOWbm5U7pC9f2
83,4,5oLP3yTZ7oQlRJ8bSCWvzN,2YD9lxZ8sLocATwfCPPoEc,maybe,Turning Into Stone,Phantogram,Nightlife,122.000,151.000,1,1.043994,https://open.spotify.com/track/2YD9lxZ8sLocATwfCPPoEc
84,1,60wP3TZcl0sOFVfWrbADui,60wP3TZcl0sOFVfWrbADui,maybe,Not Enough,Daughter,Not Enough,77.000,184.000,1,0.000000,https://open.spotify.com/track/60wP3TZcl0sOFVfWrbADui
84,2,60wP3TZcl0sOFVfWrbADui,1myE3bHoWoSO5hyr3MxdHJ,maybe,DYNAMITE,"Tyla,Wizkid",DYNAMITE,98.000,223.000,1,1.223758,https://open.spotify.com/track/1myE3bHoWoSO5hyr3MxdHJ
85,1,2hDtkP0ge2Gckcj7qi2NQ2,2hDtkP0ge2Gckcj7qi2NQ2,maybe,Doing It To Death,The Kills,Ash & Ice,133.000,198.000,1,0.000000,https://open.spotify.com/track/2hDtkP0ge2Gckcj7qi2NQ2
85,2,2hDtkP0ge2Gckcj7qi2NQ2,6jlqDfX8TQNxcaAz5oxYJA,maybe,Shattered (Turn The Car Around),O.A.R.,All Sides (Deluxe Edition),106.000,181.000,2,1.430200,https://open.spotify.com/track/6jlqDfX8TQNxcaAz5oxYJA
86,1,53lnhcBZyo3vZD4dDZvcox,53lnhcBZyo3vZD4dDZvcox,maybe,Crank That Spiderman,Duffle Bag Boiz,Crank Dat DBB,141.000,199.000,1,0.000000,https://open.spotify.com/track/53lnhcBZyo3vZD4dDZvcox
86,2,53lnhcBZyo3vZD4dDZvcox,4Mqs0h95KAeNiGp7u4udlt,maybe,Love Reign O'er Me,The Who,Quadrophenia (Super Deluxe Edition),116.000,124.000,1,1.668665,https://open.spotify.com/track/4Mqs0h95KAeNiGp7u4udlt
87,1,5HAjss9faCAowGY8dM24r6,5HAjss9faCAowGY8dM24r6,maybe,Is There Anybody Out There,Pink Floyd,The Wall,119.000,42.000,1,0.000000,https://open.spotify.com/track/5HAjss9faCAowGY8dM24r6
87,2,5HAjss9faCAowGY8dM24r6,3qiyyUfYe7CRYLucrPmulD,maybe,Baba O'Riley,The Who,Who's Next (Deluxe Edition),117.000,136.000,3,1.668527,https://open.spotify.com/track/3qiyyUfYe7CRYLucrPmulD
88,1,3wuCCNCnBhJlwkIJTBZFiv,3wuCCNCnBhJlwkIJTBZFiv,maybe,They Don't Care About Us,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",90.000,250.000,1,0.000000,https://open.spotify.com/track/3wuCCNCnBhJlwkIJTBZFiv
88,2,3wuCCNCnBhJlwkIJTBZFiv,31kUJ6TBHOICknBrFugOvI,maybe,Winner,"Jamie Foxx,Justin Timberlake,T.I.",Best Night Of My Life,90.000,195.000,4,1.859000,https://open.spotify.com/track/31kUJ6TBHOICknBrFugOvI
89,1,1dB3aEI23yg7Fz0IxO2pbL,1dB3aEI23yg7Fz0IxO2pbL,maybe,Eyes on Fire (Skeler Remix) - Re-Recorded,"Skeler,Blue Foundation",N i g h t D r i v e スケラー,72.000,133.000,1,0.000000,https://open.spotify.com/track/1dB3aEI23yg7Fz0IxO2pbL
