packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
22,3,02eD9ymfJOJOhM97HYp5R9,5TgEJ62DOzBpGxZ7WRsrqb,maybe,Work Song,Hozier,Hozier (Expanded Edition),121.000,115.000,1,1.275822,https://open.spotify.com/track/5TgEJ62DOzBpGxZ7WRsrqb
22,4,02eD9ymfJOJOhM97HYp5R9,39Rqt9KEOpsBG5T2wvy0np,maybe,Feel Good,Matt Maeson,Bank On The Funeral,124.000,112.000,1,1.359000,https://open.spotify.com/track/39Rqt9KEOpsBG5T2wvy0np
23,1,0fN8Symx2jOXpOAqrW6otf,0fN8Symx2jOXpOAqrW6otf,yes,Feels Like Nothing,Foreign Air,Smile,128.000,113.000,1,0.000000,https://open.spotify.com/track/0fN8Symx2jOXpOAqrW6otf
23,2,0fN8Symx2jOXpOAqrW6otf,1nE1VjP943pIuFdNWcLgYM,yes,Feel Again - With Heartbeats,OneRepublic,Native,140.000,165.000,1,1.224786,https://open.spotify.com/track/1nE1VjP943pIuFdNWcLgYM
23,3,0fN8Symx2jOXpOAqrW6otf,4yoMMiRT5sXtIbSHKQfRqi,yes,Go Easy,Matt Maeson,Bank On The Funeral,86.000,139.000,1,1.399710,https://open.spotify.com/track/4yoMMiRT5sXtIbSHKQfRqi
23,4,0fN8Symx2jOXpOAqrW6otf,1735xgk2J8CHCGY2LS1HM6,maybe,Private,The Neighbourhood,Private,124.000,175.000,1,1.399835,https://open.spotify.com/track/1735xgk2J8CHCGY2LS1HM6
24,1,2YB7LLj8xZcd4pDs0UBM6i,2YB7LLj8xZcd4pDs0UBM6i,yes,Don't Speak,Culture Wars,Don't Speak,154.000,177.000,1,0.000000,https://open.spotify.com/track/2YB7LLj8xZcd4pDs0UBM6i
24,2,2YB7LLj8xZcd4pDs0UBM6i,2N4viTG9njqCa4c46YyWs1,maybe,Be With You,Enrique Iglesias,Enrique,122.000,209.000,1,1.150117,https://open.spotify.com/track/2N4viTG9njqCa4c46YyWs1
24,3,2YB7LLj8xZcd4pDs0UBM6i,6voIJ7OWwRabSZDC77D5Hp,yes,Trouble’s Coming,Royal Blood,Typhoons,112.000,228.000,1,1.634855,https://open.spotify.com/track/6voIJ7OWwRabSZDC77D5Hp
25,1,4wFXTN7ADsBxIyJfzvaHGf,4wFXTN7ADsBxIyJfzvaHGf,yes,What's Wrong,Foreign Air,Smile,176.000,133.000,1,0.000000,https://open.spotify.com/track/4wFXTN7ADsBxIyJfzvaHGf
25,2,4wFXTN7ADsBxIyJfzvaHGf,5Z7bkW3dsu8jLdv3dEGxly,maybe,Nice 'n' Easy - Remastered 1999,Frank Sinatra,Nice 'n' Easy (Remastered / Expanded Edition),109.000,120.000,2,1.851626,https://open.spotify.com/track/5Z7bkW3dsu8jLdv3dEGxly
