Track_ID,Song,Artist,Source_User,Source_Repeat_Intent,Source_Keep_In_Library,Source_Logged_At,Track_URL
42tYHqMxXxXHAAWqLaoOfQ,MacArthur Park - Single Version,Donna Summer,kaseysmom,favorites_archive,1,2026-07-19T06:00:38.621Z,https://open.spotify.com/track/42tYHqMxXxXHAAWqLaoOfQ
47y8hRlWLEJ4VafE6LMjEZ,A Little Less Conversation,Elvis Presley,kaseysmom,skip_for_now,1,2026-07-19T06:00:38.752Z,https://open.spotify.com/track/47y8hRlWLEJ4VafE6LMjEZ
4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.192Z,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
4FmCUATNIarCQh72JYdvnm,That's Life,Frank Sinatra,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.464Z,https://open.spotify.com/track/4FmCUATNIarCQh72JYdvnm
4jDMK7mlKrAAwygtaJOsTj,Mothers,Daughter,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.348Z,https://open.spotify.com/track/4jDMK7mlKrAAwygtaJOsTj
4NK49OnNDP3oJcTGs89XSg,Beggar's Song,Matt Maeson,kaseysmom,currently_listening,1,2026-07-19T06:00:38.833Z,https://open.spotify.com/track/4NK49OnNDP3oJcTGs89XSg
4p1PizAGdglm2sVvPuFPWs,Love Is A Battlefield,Pat Benatar,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.508Z,https://open.spotify.com/track/4p1PizAGdglm2sVvPuFPWs
4V9JDRqKjN8F2HWdlEDxvI,Harder To Breathe,Maroon 5,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.167Z,https://open.spotify.com/track/4V9JDRqKjN8F2HWdlEDxvI
4xh7W7tlNMIczFhupCPniY,Go Your Own Way - 2004 Remaster,Fleetwood Mac,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.623Z,https://open.spotify.com/track/4xh7W7tlNMIczFhupCPniY
5f7KV4oOHZylrpa5XKFu6G,Centerfield,John Fogerty,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.302Z,https://open.spotify.com/track/5f7KV4oOHZylrpa5XKFu6G
