track_id,song,artist,album,added_at,album_date,playlist_name,owner_latest_keep_in_library,kept_by_other_user,eligible_for_delete,in_music_library_db,your_decision,notes
3ytGk8uwqSxcyd1RjVsrin,M!ssundaztood,P!nk,M!ssundaztood,2026-01-29,2001-11-20 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
3Wto3qVmbTqpSskoQ3YIxt,My Vietnam,P!nk,M!ssundaztood,2026-01-29,2001-11-20 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
6BIaQrIUOSyyJvry76fNJp,Numb,P!nk,M!ssundaztood,2026-01-29,2001-11-20 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
4egPgFmLoE1Z2bKLEmzCkQ,Lonely Girl,"P!nk,Linda Perry",M!ssundaztood,2026-01-29,2001-11-20 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
0DqDSW0xdTUMwhOLYLtC9m,Respect,"P!nk,Scratch",M!ssundaztood,2026-01-29,2001-11-20 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
6jY3W9ywchEFwA8uTzaGbK,Misery,"P!nk,Steven Tyler",M!ssundaztood,2026-01-29,2001-11-20 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
1BeNZQORyV0jEF2toAmrsA,Don't Move,Phantogram,Nightlife,2026-03-02,,liked_songs,0,no,yes,yes,,
1oDey7MWmrKRCSM0tgEoU8,Whatever You Do! Don't,Shania Twain,Come On Over,2024-08-31,1997-11-04 00:00:00,my_cd_collection,0,no,yes,yes,,
5g0afUZsh5hiXBOT3eXuwd,Set The Fire To The Third Bar,"Snow Patrol,Martha Wainwright",Eyes Open,2026-03-30,2006-01-01 00:00:00,liked_songs,0,no,yes,yes,,
0wO2H4SPvuaukEmxuAxFnF,I'll Let You Live,Taking Back Sunday,Louder Now,2026-06-15,2006-04-25 00:00:00,vinyl,0,no,yes,yes,,
2QSuqxALyh7JFoQEBxyo0H,I Robot,The Alan Parsons Project,I Robot,2026-03-21,1977-07-08 00:00:00,latent_space,0,no,yes,yes,,
0Ui05Ov0s4PnRc4JI3Pilg,My Favourite Game,The Cardigans,Gran Turismo (Remastered),2026-03-02,1998-01-01 00:00:00,liked_songs,0,no,yes,yes,,
458JkK5eJhh4C4s6nTuz7g,Dreams - Remastered 2026,The Cranberries,"Everybody Else Is Doing It, So Why Can't We? (Remastered 2026)",2026-06-15,,sundays_with_my_dad,0,no,yes,yes,,
0J2ykLMJWeJzc46T7mx0XW,A Quick One While He's Away - Live  Rock And Roll Circus  Version,The Who,The Kids Are Alright,2026-04-09,1979-06-08 00:00:00,vinyl,0,no,yes,yes,,
75AhlGB9aFWTxDfbmbdiCH,Cut My Hair,The Who,Quadrophenia (Super Deluxe Edition),2025-11-27,1973-10-19 00:00:00,wednesdays_with_my_mom,0,no,yes,yes,,
6m7vTi43b9cZDuD8DVs3OL,Yesterday's Rain,Toby Keith,Pull My Chain,2026-01-29,2001-08-10 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
06cv61HwUdLzSi35A8jUEx,Everybody Wants Some,Van Halen,Women And Children First,2025-07-12,,not_like_that_anymore,0,no,yes,yes,,
3QRZknOUCPCpOvK21j0rXb,Gone to California,P!nk,M!ssundaztood,2026-01-29,2001-11-20 00:00:00,the_ultimate_concert_playlist,0,yes,no,yes,,
