rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
22,458JkK5eJhh4C4s6nTuz7g,Dreams - Remastered 2026,The Cranberries,"Everybody Else Is Doing It, So Why Can't We? (Remastered 2026)",yes,182.00,85.00,55.00,42.00,128.00,12B,0,13.98,1.500,0.6821,0.0000,1.0369,2.0859,https://open.spotify.com/track/458JkK5eJhh4C4s6nTuz7g
23,70wYA8oYHoMzhRRkARoMhU,When You Were Young,The Killers,Sam's Town,yes,178.00,99.00,47.00,32.00,130.00,1B,0,14.05,1.500,0.6811,0.0000,1.0304,2.0719,https://open.spotify.com/track/70wYA8oYHoMzhRRkARoMhU
24,0A2d4khGCCkWJS0SAZNxoP,Real,Olly Alexander (Years & Years),Communion (Deluxe),yes,190.00,59.00,74.00,57.00,114.00,8B,0,14.00,1.500,0.6818,0.0000,1.0276,2.0670,https://open.spotify.com/track/0A2d4khGCCkWJS0SAZNxoP
25,1HrMWH5GUdK6Yi94rbANJA,Cola,"CamelPhat,Elderbrook",Cola,yes,189.00,74.00,71.00,44.00,122.00,2B,0,14.00,1.500,0.6818,0.0000,1.0232,2.0580,https://open.spotify.com/track/1HrMWH5GUdK6Yi94rbANJA
26,6pYLOZFS1uZPmDFcj6OuMo,The Mask,Matt Maeson,The Mask,yes,163.00,59.00,58.00,46.00,148.00,10B,0,14.01,1.500,0.6816,0.0000,1.0116,2.0346,https://open.spotify.com/track/6pYLOZFS1uZPmDFcj6OuMo
27,67q8yivDoOPXCYodi1zTix,Glue Myself Shut,Noah Kahan,Cape Elizabeth,yes,163.00,31.00,62.00,70.00,73.00,3B,0,14.03,1.500,0.6814,0.0000,1.0000,2.0111,https://open.spotify.com/track/67q8yivDoOPXCYodi1zTix
28,5ehcf6UL1TkwozB386cRAp,Don't Stop Believin' (2024 Remaster),Journey,Greatest Hits (2024 Remaster),yes,174.00,78.00,50.00,46.00,119.00,12B,0,13.99,1.500,0.6819,0.0000,0.9982,2.0079,https://open.spotify.com/track/5ehcf6UL1TkwozB386cRAp
29,3skn2lauGk7Dx6bVIt5DVj,Starlight,Muse,Black Holes and Revelations,yes,174.00,87.00,55.00,32.00,122.00,12B,0,14.05,1.500,0.6811,0.0000,0.9944,1.9995,https://open.spotify.com/track/3skn2lauGk7Dx6bVIt5DVj
30,61b8dII0C3ybIRdQY6dl3d,Caffeine,Foreign Air,Caffeine,yes,168.00,63.00,63.00,42.00,95.00,3B,0,14.02,1.500,0.6815,0.0000,0.9755,1.9618,https://open.spotify.com/track/61b8dII0C3ybIRdQY6dl3d
31,2AT8iROs4FQueDv2c8q2KE,R U Mine,Arctic Monkeys,AM,yes,167.00,76.00,29.00,62.00,97.00,11A,0,14.04,1.500,0.6812,0.0000,0.9544,1.9192,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE
32,1735xgk2J8CHCGY2LS1HM6,Private,The Neighbourhood,Private,maybe,175.00,58.00,73.00,44.00,124.00,7A,1,3.16,0.600,0.9046,0.1386,1.0031,0.9575,https://open.spotify.com/track/1735xgk2J8CHCGY2LS1HM6
33,00aEvruq9NQRUzYMn1rEPs,The Therapist,Foreign Air,The Therapist,maybe,182.00,85.00,60.00,37.00,92.00,9A,1,3.20,0.600,0.9037,0.1386,0.9906,0.9454,https://open.spotify.com/track/00aEvruq9NQRUzYMn1rEPs
34,22YvUcGzVLjtK3u2fSMAZr,Need To,Gavin Adcock,Own Worst Enemy,maybe,170.00,40.00,77.00,53.00,146.00,10B,0,14.03,0.600,0.6814,0.0000,1.0424,0.8385,https://open.spotify.com/track/22YvUcGzVLjtK3u2fSMAZr
