rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
23,2AEW4oatiphhXuGRteMLqx,Stealin',Uriah Heep,Sweet Freedom (Expanded Version),yes,89.00,49.00,33.00,7.00,118.00,9B,0,14.02,1.500,0.6814,0.0000,1.0021,2.0153,https://open.spotify.com/track/2AEW4oatiphhXuGRteMLqx
24,34d7sGX6WUqq8f04e7CSNF,Marsh,Eminem,Music To Be Murdered By,yes,141.00,49.00,87.00,5.00,145.00,3B,0,14.02,1.500,0.6815,0.0000,1.0005,2.0121,https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
25,4yoMMiRT5sXtIbSHKQfRqi,Go Easy,Matt Maeson,Bank On The Funeral,yes,139.00,71.00,35.00,33.00,86.00,6A,0,14.02,1.500,0.6815,0.0000,0.9990,2.0092,https://open.spotify.com/track/4yoMMiRT5sXtIbSHKQfRqi
26,0fN8Symx2jOXpOAqrW6otf,Feels Like Nothing,Foreign Air,Smile,yes,113.00,35.00,40.00,38.00,128.00,6A,0,14.03,1.500,0.6813,0.0000,0.9940,1.9990,https://open.spotify.com/track/0fN8Symx2jOXpOAqrW6otf
27,7JvNsKLxsUTGj7hR0Hkw2Z,Smoke On the Highway,X Ambassadors,Townies,yes,127.00,67.00,33.00,27.00,78.00,9B,0,14.03,1.500,0.6813,0.0000,0.9851,1.9811,https://open.spotify.com/track/7JvNsKLxsUTGj7hR0Hkw2Z
28,6fJld32axCH9Aw7XlVLoGG,Man On A Mission,The Black Keys,Man On A Mission,yes,157.00,91.00,40.00,26.00,89.00,9A,0,14.05,1.500,0.6810,0.0000,0.9660,1.9424,https://open.spotify.com/track/6fJld32axCH9Aw7XlVLoGG
29,39Rqt9KEOpsBG5T2wvy0np,Feel Good,Matt Maeson,Bank On The Funeral,maybe,112.00,25.00,70.00,17.00,124.00,7B,0,14.02,0.600,0.6815,0.0000,1.0496,0.8444,https://open.spotify.com/track/39Rqt9KEOpsBG5T2wvy0np
30,15lxyyfUIcs7Ztuilbl01M,Tribulation,Matt Maeson,Who Killed Matt Maeson,maybe,144.00,66.00,43.00,35.00,155.00,3B,0,14.02,0.600,0.6815,0.0000,1.0416,0.8379,https://open.spotify.com/track/15lxyyfUIcs7Ztuilbl01M
31,5Z7bkW3dsu8jLdv3dEGxly,Nice 'n' Easy - Remastered 1999,Frank Sinatra,Nice 'n' Easy (Remastered / Expanded Edition),maybe,120.00,15.00,54.00,51.00,109.00,8B,0,13.99,0.600,0.6820,0.0000,1.0300,0.8287,https://open.spotify.com/track/5Z7bkW3dsu8jLdv3dEGxly
32,5TgEJ62DOzBpGxZ7WRsrqb,Work Song,Hozier,Hozier (Expanded Edition),maybe,115.00,36.00,53.00,26.00,121.00,6B,0,14.01,0.600,0.6816,0.0000,0.9846,0.7921,https://open.spotify.com/track/5TgEJ62DOzBpGxZ7WRsrqb
33,2B0abNU9B6RcGaIY6jaQYY,Light A Fire,Gavin Adcock,Own Worst Enemy,maybe,138.00,61.00,58.00,19.00,75.00,3B,0,14.04,0.600,0.6813,0.0000,0.9750,0.7842,https://open.spotify.com/track/2B0abNU9B6RcGaIY6jaQYY
34,6lwZ1QSjco5ggPpKDXalNf,Word Of Mouth - Audiotree Live Version,"Shakey Graves,Audiotree",Shakey Graves on Audiotree Live (Session #1),maybe,107.00,27.00,54.00,26.00,121.00,2B,0,14.01,0.600,0.6817,0.0000,0.9658,0.7770,https://open.spotify.com/track/6lwZ1QSjco5ggPpKDXalNf
35,4t86vQyqJuck4tAn9eIzHH,Bank On The Funeral,Matt Maeson,Bank On The Funeral,maybe,78.00,30.00,29.00,19.00,177.00,2B,0,14.02,0.600,0.6815,0.0000,0.9557,0.7688,https://open.spotify.com/track/4t86vQyqJuck4tAn9eIzHH
