rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,2hns6Dv29Yrg68AVTJiAyA,Who Knew,P!nk,I'm Not Dead,currently_listening,140.00,188.00,73.00,69.00,46.00,11B,2,2026-07-15T08:04:25.874Z,https://open.spotify.com/track/2hns6Dv29Yrg68AVTJiAyA
2,54TaGh2JKs1pO9daXNXI5q,Fly By Night,Rush,Fly By Night,currently_listening,139.00,178.00,70.00,50.00,58.00,9B,2,2026-07-16T05:05:37.506Z,https://open.spotify.com/track/54TaGh2JKs1pO9daXNXI5q
3,0cIQEeA1OD5XzUjuplVfiT,Ditmas,Mumford & Sons,Wilder Mind (Deluxe),currently_listening,144.00,178.00,73.00,53.00,52.00,8B,1,2026-08-01T21:11:28.298Z,https://open.spotify.com/track/0cIQEeA1OD5XzUjuplVfiT
4,5l8ylBEHHYL62w5HfjB3JF,Dang,Rainbow Kitten Surprise,bones,currently_listening,148.00,181.00,94.00,55.00,32.00,12B,1,2026-08-01T20:57:56.759Z,https://open.spotify.com/track/5l8ylBEHHYL62w5HfjB3JF
5,3LMe4h7CrPLJrViTVzfDot,Wasted on the Way - 2005 Remaster,"Crosby, Stills & Nash",Daylight Again (Deluxe Edition),currently_listening,154.00,181.00,54.00,53.00,74.00,10B,1,2026-08-01T21:11:28.313Z,https://open.spotify.com/track/3LMe4h7CrPLJrViTVzfDot
6,3lN8PP6R2IxbLP05QpYXng,Born To Be Wild - Single Version,Steppenwolf,Steppenwolf,currently_listening,146.00,171.00,73.00,44.00,54.00,10B,3,2026-07-19T06:00:38.750Z,https://open.spotify.com/track/3lN8PP6R2IxbLP05QpYXng
7,0GktqERhevu7U8mNHiH0kb,I Can't Explain - Live On  Shindig,The Who,The Kids Are Alright,currently_listening,142.00,168.00,94.00,19.00,55.00,11B,2,2026-07-13T02:23:29.904Z,https://open.spotify.com/track/0GktqERhevu7U8mNHiH0kb
8,3Bclyko7WmwM2oGmKj8sue,I Will Wait,Mumford & Sons,Babel (Deluxe Version),currently_listening,131.00,169.00,76.00,48.00,45.00,3B,1,2026-08-01T21:11:28.294Z,https://open.spotify.com/track/3Bclyko7WmwM2oGmKj8sue
9,6LbbHFEajG9e4m0G3L47c4,Pinball Wizard,The Who,Tommy,currently_listening,124.00,173.00,72.00,54.00,47.00,10B,3,2026-07-19T06:00:39.025Z,https://open.spotify.com/track/6LbbHFEajG9e4m0G3L47c4
10,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,How To Save A Life,currently_listening,122.00,174.00,74.00,64.00,36.00,6B,3,2026-07-19T06:00:38.844Z,https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J
11,5E7AQh3drqwYcIQkcdUs5Y,5:15,The Who,Quadrophenia (Super Deluxe Edition),currently_listening,126.00,181.00,85.00,43.00,53.00,8B,2,2026-07-13T06:11:13.452Z,https://open.spotify.com/track/5E7AQh3drqwYcIQkcdUs5Y
12,3TP8KZt9tJGyeBRVyDysp9,Better If Worse,"HAFFWAY,Matt Maeson",Better If Worse (with Matt Maeson),currently_listening,124.00,183.00,81.00,54.00,48.00,11A,2,2026-07-13T01:59:52.745Z,https://open.spotify.com/track/3TP8KZt9tJGyeBRVyDysp9
13,5VJe8OKFcPBBjNEAPUeDuJ,Devil Like Me,Rainbow Kitten Surprise,Seven + Mary,currently_listening,123.00,187.00,63.00,68.00,56.00,10B,2,2026-07-13T06:21:02.149Z,https://open.spotify.com/track/5VJe8OKFcPBBjNEAPUeDuJ
14,7pTFB8hCQ6TdXojDKPh67O,Problems,Matt Maeson,Never Had to Leave,currently_listening,126.00,187.00,65.00,63.00,59.00,6B,2,2026-07-13T02:01:26.830Z,https://open.spotify.com/track/7pTFB8hCQ6TdXojDKPh67O
15,2Ojr742JINM4QEOk7vQGEh,Never Have I Ever,Rainbow Kitten Surprise,Never Have I Ever,currently_listening,130.00,195.00,71.00,68.00,56.00,12A,2,2026-07-13T06:21:49.369Z,https://open.spotify.com/track/2Ojr742JINM4QEOk7vQGEh
16,4hWUOIDHda9XOb1zDchftP,Too Much Time On My Hands,Styx,Paradise Theatre,currently_listening,131.00,209.00,40.00,80.00,89.00,10A,3,2026-07-19T06:00:38.656Z,https://open.spotify.com/track/4hWUOIDHda9XOb1zDchftP
17,5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,R. Kelly,Chocolate Factory,currently_listening,133.00,218.00,52.00,80.00,86.00,3B,2,2026-07-19T06:00:38.805Z,https://open.spotify.com/track/5dNfHmqgr128gMY2tc5CeJ
18,1c2MXiju7DNPSfsKoVbHlg,Wipe Your Eyes,Maroon 5,Overexposed (Deluxe),currently_listening,137.00,214.00,91.00,61.00,62.00,9A,2,2026-07-13T06:09:55.253Z,https://open.spotify.com/track/1c2MXiju7DNPSfsKoVbHlg
19,0upLyFR8Rr52ZpMp5esQoq,You Really Got Me - 2015 Remaster,Van Halen,Van Halen (Remastered),currently_listening,138.00,205.00,95.00,45.00,65.00,12A,3,2026-07-19T06:00:38.754Z,https://open.spotify.com/track/0upLyFR8Rr52ZpMp5esQoq
20,4rVvheUQ2wQpn5uXX5l0gS,The Real Me,The Who,Quadrophenia (Super Deluxe Edition),currently_listening,149.00,199.00,93.00,49.00,57.00,4A,3,2026-07-19T06:00:39.032Z,https://open.spotify.com/track/4rVvheUQ2wQpn5uXX5l0gS
21,65eRcjlStTnk8opG5eIQ8Z,25 or 6 to 4,Chicago,Chicago IX: Chicago's Greatest Hits,currently_listening,148.00,225.00,87.00,61.00,77.00,9B,2,2026-07-16T05:04:56.458Z,https://open.spotify.com/track/65eRcjlStTnk8opG5eIQ8Z
22,1zqllQUMCgMaInr0CzFVll,Wake Up Call,Maroon 5,It Won't Be Soon Before Long.,currently_listening,164.00,255.00,95.00,63.00,97.00,9A,2,2026-07-13T06:10:50.087Z,https://open.spotify.com/track/1zqllQUMCgMaInr0CzFVll
23,3d7kOTeOELWHXwh4sfJ2Tv,That Voice Again - 2012 Remaster,Peter Gabriel,,currently_listening,118.00,187.00,71.00,67.00,49.00,3B,2,2026-07-19T05:47:46.112Z,https://open.spotify.com/track/3d7kOTeOELWHXwh4sfJ2Tv
24,0tuyEYTaqLxE41yGHSsXjy,Won't Go Home Without You,Maroon 5,It Won't Be Soon Before Long.,currently_listening,110.00,176.00,61.00,74.00,41.00,5B,3,2026-07-19T06:00:39.160Z,https://open.spotify.com/track/0tuyEYTaqLxE41yGHSsXjy
25,2kXjRzwcTZhGLnVjUud8l3,Little Lion Man,Mumford & Sons,Sigh No More,currently_listening,139.00,147.00,51.00,52.00,44.00,7B,2,2026-07-15T06:53:04.066Z,https://open.spotify.com/track/2kXjRzwcTZhGLnVjUud8l3
26,0CSTvWUps1YmpQoXXay9ol,Cosmic Love,Florence + The Machine,Lungs (Deluxe Edition),currently_listening,140.00,140.00,80.00,52.00,8.00,8A,1,2026-08-01T21:11:28.270Z,https://open.spotify.com/track/0CSTvWUps1YmpQoXXay9ol
27,10fddGyyeUquZZ2uPTjD7P,Better Than Me,Hinder,Extreme Behavior,currently_listening,140.00,138.00,68.00,45.00,25.00,7A,2,2026-07-16T05:21:34.754Z,https://open.spotify.com/track/10fddGyyeUquZZ2uPTjD7P
28,6qc34bnVOyqGDPni8H5W0U,Amazed,Lonestar,Lonely Grill,currently_listening,140.00,134.00,54.00,56.00,24.00,3B,2,2026-07-15T07:11:06.374Z,https://open.spotify.com/track/6qc34bnVOyqGDPni8H5W0U
