rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,2Ojr742JINM4QEOk7vQGEh,Never Have I Ever,Rainbow Kitten Surprise,Never Have I Ever,currently_listening,130.00,195.00,71.00,68.00,56.00,12A,1,2026-07-13T06:21:49.369Z,https://open.spotify.com/track/2Ojr742JINM4QEOk7vQGEh
2,7pTFB8hCQ6TdXojDKPh67O,Problems,Matt Maeson,Never Had to Leave,currently_listening,126.00,187.00,65.00,63.00,59.00,6B,1,2026-07-13T02:01:26.830Z,https://open.spotify.com/track/7pTFB8hCQ6TdXojDKPh67O
3,3TP8KZt9tJGyeBRVyDysp9,Better If Worse,"HAFFWAY,Matt Maeson",Better If Worse (with Matt Maeson),currently_listening,124.00,183.00,81.00,54.00,48.00,11A,1,2026-07-13T01:59:52.745Z,https://open.spotify.com/track/3TP8KZt9tJGyeBRVyDysp9
4,5E7AQh3drqwYcIQkcdUs5Y,5:15,The Who,Quadrophenia (Super Deluxe Edition),currently_listening,126.00,181.00,85.00,43.00,53.00,8B,1,2026-07-13T06:11:13.452Z,https://open.spotify.com/track/5E7AQh3drqwYcIQkcdUs5Y
5,5fBiYwfgFmyFSP6EW1A9EY,Happy Jack,The Who,The Kids Are Alright,currently_listening,129.00,177.00,75.00,54.00,48.00,10B,1,2026-07-13T02:22:04.837Z,https://open.spotify.com/track/5fBiYwfgFmyFSP6EW1A9EY
6,6LbbHFEajG9e4m0G3L47c4,Pinball Wizard,The Who,Tommy,currently_listening,124.00,173.00,72.00,54.00,47.00,10B,1,2026-07-13T02:25:17.823Z,https://open.spotify.com/track/6LbbHFEajG9e4m0G3L47c4
7,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,How To Save A Life,currently_listening,122.00,174.00,74.00,64.00,36.00,6B,1,2026-07-13T06:35:04.339Z,https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J
8,2ZJ0357KXCl3WTCwsPQWdQ,Story - Non-LP Version,Maroon 5,The B-Side Collection,currently_listening,120.00,170.00,81.00,47.00,42.00,8B,1,2026-07-13T06:08:52.170Z,https://open.spotify.com/track/2ZJ0357KXCl3WTCwsPQWdQ
9,3cvNxYnBgh6ystYLC6NQTT,Daylight,Maroon 5,Overexposed (Deluxe),currently_listening,120.00,168.00,67.00,66.00,35.00,10B,1,2026-07-13T06:05:38.704Z,https://open.spotify.com/track/3cvNxYnBgh6ystYLC6NQTT
10,2s6wCS3vDZFPY9NOTlPXJZ,Take Me Home - 2016 Remaster,Phil Collins,No Jacket Required (2016 Remaster),currently_listening,119.00,201.00,81.00,62.00,58.00,4B,1,2026-07-13T06:15:29.266Z,https://open.spotify.com/track/2s6wCS3vDZFPY9NOTlPXJZ
11,6m3yuXdLzDTgwJ1y1VnNaH,I Don't Remember,Peter Gabriel,Peter Gabriel 3: Melt (Remastered Version),currently_listening,116.00,215.00,85.00,73.00,57.00,3B,1,2026-07-13T06:13:11.084Z,https://open.spotify.com/track/6m3yuXdLzDTgwJ1y1VnNaH
12,3CMAfzKrxKC9reX2B6x6OF,I Just Don't Care That Much,Matt Maeson,Bank On The Funeral,currently_listening,120.00,216.00,72.00,82.00,62.00,8B,1,2026-07-13T01:57:13.482Z,https://open.spotify.com/track/3CMAfzKrxKC9reX2B6x6OF
