rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,7LLBFAlUOE6rUHDePQL57a,All I Need,Jack Wagner,All I Need,currently_listening,140.00,103.00,38.00,48.00,17.00,11B,1,2026-07-13T06:31:13.312Z,https://open.spotify.com/track/7LLBFAlUOE6rUHDePQL57a
2,5KvxULNXi0YofO91RtrHsU,We Said Hello Goodbye - 2016 Remaster,Phil Collins,No Jacket Required (2016 Remaster),currently_listening,142.00,94.00,35.00,47.00,12.00,10B,1,2026-07-13T02:39:32.468Z,https://open.spotify.com/track/5KvxULNXi0YofO91RtrHsU
3,4EoKbid1MFccC0VCtO5ehz,More Fool Me - 2007 Stereo Mix,Genesis,Selling England by the Pound (2007 Stereo Mix),currently_listening,137.00,80.00,13.00,44.00,23.00,1A,1,2026-07-13T06:14:05.016Z,https://open.spotify.com/track/4EoKbid1MFccC0VCtO5ehz
4,3m8lTUL5GxGUNSaycI77ND,Sunshine On My Shoulders,John Denver,"Poems, Prayers and Promises",currently_listening,147.00,75.00,17.00,32.00,26.00,6B,1,2026-07-13T06:24:48.253Z,https://open.spotify.com/track/3m8lTUL5GxGUNSaycI77ND
5,7DwXVzYDo6GNSiEw3GGC1M,Ripples,Genesis,A Trick of the Tail,currently_listening,139.00,59.00,19.00,28.00,12.00,11A,1,2026-07-13T02:04:24.446Z,https://open.spotify.com/track/7DwXVzYDo6GNSiEw3GGC1M
6,0foadg5Kw7LQlCOjchP49d,Afterglow - 2007 Remaster,Genesis,Wind & Wuthering (2007 Remaster),currently_listening,128.00,91.00,60.00,23.00,8.00,9B,1,2026-07-13T02:04:36.878Z,https://open.spotify.com/track/0foadg5Kw7LQlCOjchP49d
7,4nI1De11kRgTRO0GGsnrVe,Split Personality Blues,Matt Maeson,A Quiet and Harmless Living,currently_listening,129.00,98.00,52.00,29.00,17.00,8A,1,2026-07-13T02:00:44.346Z,https://open.spotify.com/track/4nI1De11kRgTRO0GGsnrVe
8,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,Pink Floyd,The Wall,currently_listening,127.00,101.00,37.00,47.00,17.00,10A,1,2026-07-13T06:28:44.103Z,https://open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC
9,0bLOiofyBB62YU2cNnONJG,Someone Saved My Life Tonight,Elton John,Captain Fantastic And The Brown Dirt Cowboy,currently_listening,130.00,104.00,43.00,46.00,15.00,3B,1,2026-07-13T06:29:19.652Z,https://open.spotify.com/track/0bLOiofyBB62YU2cNnONJG
10,7LkQBDAiS0GVSO5JQuYDzY,In My Daughter's Eyes,Martina McBride,Martina,currently_listening,123.00,104.00,30.00,36.00,38.00,4B,1,2026-07-13T06:32:29.365Z,https://open.spotify.com/track/7LkQBDAiS0GVSO5JQuYDzY
11,2daz5cSUMul4An2vCSERJC,Quadrophenia,The Who,Quadrophenia (Super Deluxe Edition),currently_listening,123.00,110.00,67.00,32.00,11.00,12B,1,2026-07-13T06:14:55.585Z,https://open.spotify.com/track/2daz5cSUMul4An2vCSERJC
12,3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,The Dark Side of the Moon,currently_listening,120.00,120.00,48.00,36.00,36.00,11B,1,2026-07-13T06:29:06.432Z,https://open.spotify.com/track/3TO7bbrUKrOSPGRTB5MeCz
13,0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,The Who,Who's Next (Deluxe Edition),currently_listening,127.00,135.00,62.00,39.00,34.00,9A,1,2026-07-13T02:21:41.875Z,https://open.spotify.com/track/0cKk8BKEi7zXbdrYdyqBP5
14,1E5LsLMExMAXQ82m8IoKuf,I Can See For Miles - Smothers Brothers Comedy Hour Remixed Version,"The Who,John Entwistle",The Kids Are Alright,currently_listening,133.00,136.00,78.00,31.00,27.00,11B,1,2026-07-13T02:22:19.771Z,https://open.spotify.com/track/1E5LsLMExMAXQ82m8IoKuf
15,6fkvIT9KFKxO8poBeKfaEf,One More Night - 2016 Remaster,Phil Collins,No Jacket Required (2016 Remaster),currently_listening,136.00,131.00,44.00,53.00,34.00,5B,1,2026-07-13T06:14:34.114Z,https://open.spotify.com/track/6fkvIT9KFKxO8poBeKfaEf
16,7xGOvQukPKKQVLiJOPSmt0,Don't Let the Sun Go Down on Me,"George Michael,Elton John",Ladies & Gentlemen,currently_listening,135.00,125.00,55.00,44.00,26.00,8B,1,2026-07-13T06:26:49.147Z,https://open.spotify.com/track/7xGOvQukPKKQVLiJOPSmt0
17,05TOt5Vz4StdjMpEdFPlvB,All I Ask,Adele,25,currently_listening,142.00,122.00,28.00,59.00,35.00,12B,1,2026-07-13T06:38:10.132Z,https://open.spotify.com/track/05TOt5Vz4StdjMpEdFPlvB
18,7riRkLUdLj0J8zwS6KtZIs,Beggar's Song,Matt Maeson,Beggar's Song,currently_listening,145.00,118.00,46.00,45.00,27.00,2B,1,2026-07-13T02:03:01.560Z,https://open.spotify.com/track/7riRkLUdLj0J8zwS6KtZIs
19,3xiccJ9jlTVwC8Yl66eGv5,Middle Ground,Maroon 5,Middle Ground,currently_listening,150.00,109.00,49.00,32.00,28.00,10B,1,2026-07-13T06:07:22.453Z,https://open.spotify.com/track/3xiccJ9jlTVwC8Yl66eGv5
20,1wKkRvZnuVde5OYhKwTMeY,Don't Give Up - 2012 Remaster,Peter Gabriel,So (25th Anniversary Deluxe Edition),currently_listening,161.00,116.00,26.00,54.00,36.00,5B,1,2026-07-13T02:31:31.238Z,https://open.spotify.com/track/1wKkRvZnuVde5OYhKwTMeY
21,7kXM2obnaUVl014k00cdhF,Leather and Lace - 2016 Remaster,"Stevie Nicks,Don Henley",Bella Donna (2016 Remastered),currently_listening,154.00,129.00,43.00,49.00,37.00,5B,1,2026-07-13T06:42:01.113Z,https://open.spotify.com/track/7kXM2obnaUVl014k00cdhF
22,4vGKLADQksmUcPAVHu7oab,Yours Forever (feat. Matt Maeson),"Bishop Briggs,Matt Maeson",Yours Forever (feat. Matt Maeson),currently_listening,143.00,131.00,57.00,49.00,25.00,6A,1,2026-07-13T02:03:15.790Z,https://open.spotify.com/track/4vGKLADQksmUcPAVHu7oab
23,5a0z3YMeIkXwvJxja3gdy9,Downstairs,Matt Maeson,Downstairs,currently_listening,137.00,139.00,49.00,65.00,25.00,2B,1,2026-07-13T02:02:39.660Z,https://open.spotify.com/track/5a0z3YMeIkXwvJxja3gdy9
24,0qbhFj4bVrguIZViOJOs36,Hold on My Heart - 2007 Remaster,Genesis,We Can't Dance (2007 Remaster),currently_listening,172.00,104.00,32.00,45.00,27.00,4A,1,2026-07-13T06:12:42.367Z,https://open.spotify.com/track/0qbhFj4bVrguIZViOJOs36
25,5W7YROOF6bFfBexY81LFjt,Babe,Styx,Cornerstone,currently_listening,169.00,56.00,20.00,27.00,9.00,10B,1,2026-07-13T06:35:38.345Z,https://open.spotify.com/track/5W7YROOF6bFfBexY81LFjt
