rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
54,3VD30P9pXZq2usG4tSdjBa,All the Noise,Spacey Jane,If That Makes Sense,save_for_later,153.00,183.00,90.00,51.00,42.00,8B,1,2026-08-01T21:11:28.315Z,https://open.spotify.com/track/3VD30P9pXZq2usG4tSdjBa
55,3jfHclM5oNBSUvuBS7OgPj,Absolution,Switchfoot,Absolution,save_for_later,91.00,168.00,87.00,54.00,27.00,11B,2,2026-07-13T06:44:57.126Z,https://open.spotify.com/track/3jfHclM5oNBSUvuBS7OgPj
56,6fyw6zM0yNcgttmRJF3cE3,Can't Take It,The All-American Rejects,Move Along,save_for_later,116.00,132.00,42.00,57.00,33.00,9A,2,2026-07-15T07:48:24.128Z,https://open.spotify.com/track/6fyw6zM0yNcgttmRJF3cE3
57,6I86pznhdVxno1jqc9HMXk,Sunshine,The All-American Rejects,When The World Comes Down,save_for_later,100.00,148.00,50.00,54.00,44.00,2B,2,2026-07-15T07:12:09.838Z,https://open.spotify.com/track/6I86pznhdVxno1jqc9HMXk
58,66CtVHzbUyFKbaNaPA8KBl,Trust Me,The Fray,How To Save A Life,save_for_later,107.00,129.00,53.00,54.00,22.00,12B,2,2026-07-15T07:52:11.679Z,https://open.spotify.com/track/66CtVHzbUyFKbaNaPA8KBl
59,5zmaypMaWb21FUGBxbw8hT,Black Balloon,The Goo Goo Dolls,Dizzy up the Girl,save_for_later,105.00,130.00,63.00,34.00,33.00,3B,2,2026-07-15T07:45:34.164Z,https://open.spotify.com/track/5zmaypMaWb21FUGBxbw8hT
60,7cIHtga6bZuzpg8cu71xlD,Love Lost,The Temper Trap,Conditions,save_for_later,123.00,144.00,57.00,55.00,32.00,9B,2,2026-07-15T06:58:59.233Z,https://open.spotify.com/track/7cIHtga6bZuzpg8cu71xlD
61,13lZDbwonGhOflQLQIfdtZ,We're Going to Be Friends,The White Stripes,White Blood Cells,save_for_later,97.00,141.00,44.00,53.00,44.00,9B,2,2026-07-15T07:20:14.763Z,https://open.spotify.com/track/13lZDbwonGhOflQLQIfdtZ
62,7Kp2mScPJlaGtkYtOKzqKE,You Say,Vertical Horizon,Everything You Want,save_for_later,93.00,175.00,75.00,51.00,49.00,4B,2,2026-07-15T07:29:40.048Z,https://open.spotify.com/track/7Kp2mScPJlaGtkYtOKzqKE
63,2TgDpXS3Go77E70z8WNfey,Goodbye Again,Vertical Horizon,Go,save_for_later,84.00,145.00,60.00,46.00,39.00,7B,2,2026-07-15T07:49:22.564Z,https://open.spotify.com/track/2TgDpXS3Go77E70z8WNfey
64,2FPvMobNGX5MIOiRkP9eGw,Underwater,Vertical Horizon,Go,save_for_later,120.00,111.00,41.00,47.00,23.00,2A,2,2026-07-16T05:15:20.545Z,https://open.spotify.com/track/2FPvMobNGX5MIOiRkP9eGw
65,17RY9RzduTCpxZpwN0HtEW,Soft Shock - Acoustic Version,Yeah Yeah Yeahs,It's Blitz! (Deluxe Edition),save_for_later,113.00,154.00,48.00,51.00,55.00,9B,2,2026-07-15T07:12:44.506Z,https://open.spotify.com/track/17RY9RzduTCpxZpwN0HtEW
