rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,0z1b34WikhOH9ZxU8QDWcv,One Headlight,The Wallflowers,Bringing Down The Horse,currently_listening,108.00,199.00,54.00,70.00,75.00,10B,1,2026-07-14T03:04:26.288Z,https://open.spotify.com/track/0z1b34WikhOH9ZxU8QDWcv
2,22VHOlVYBqytsrAqV8yXBK,Dial Drunk,"Noah Kahan,Post Malone",Dial Drunk (with Post Malone),currently_listening,112.00,197.00,61.00,67.00,69.00,4B,1,2026-07-14T03:32:47.690Z,https://open.spotify.com/track/22VHOlVYBqytsrAqV8yXBK
3,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,Highway to Hell,currently_listening,116.00,190.00,91.00,57.00,42.00,11A,1,2026-07-14T03:30:28.460Z,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
4,2s6wCS3vDZFPY9NOTlPXJZ,Take Me Home - 2016 Remaster,Phil Collins,No Jacket Required (2016 Remaster),currently_listening,119.00,201.00,81.00,62.00,58.00,4B,1,2026-07-14T04:05:00.061Z,https://open.spotify.com/track/2s6wCS3vDZFPY9NOTlPXJZ
5,5qeLeyIWCPe1FpdJLQTUDW,The Wild Boys,Duran Duran,Decade,currently_listening,116.00,217.00,84.00,74.00,59.00,10A,1,2026-07-14T02:59:50.686Z,https://open.spotify.com/track/5qeLeyIWCPe1FpdJLQTUDW
6,5Ts1DYOuouQLgzTaisxWYh,Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems,currently_listening,109.00,214.00,82.00,57.00,75.00,11B,1,2026-07-14T03:05:52.474Z,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
7,3UQA4UTVqcI0VtSQ38nlq1,Let It Ride,Bachman-Turner Overdrive,Bachman-Turner Overdrive II,currently_listening,104.00,228.00,82.00,64.00,82.00,11A,1,2026-07-14T03:05:30.783Z,https://open.spotify.com/track/3UQA4UTVqcI0VtSQ38nlq1
8,2TIKWWCf6qAtVP6AGa7e9k,I'll Wait - 2015 Remaster,Van Halen,1984 (Remastered),currently_listening,115.00,234.00,85.00,63.00,86.00,7A,1,2026-07-14T03:56:29.179Z,https://open.spotify.com/track/2TIKWWCf6qAtVP6AGa7e9k
9,5PKnZzkjs2y3WTbIYtv5Fq,Magic Bus - Mono Edit,The Who,The Kids Are Alright,currently_listening,92.00,230.00,95.00,63.00,72.00,9B,1,2026-07-14T02:56:42.268Z,https://open.spotify.com/track/5PKnZzkjs2y3WTbIYtv5Fq
10,6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors,The Doors,currently_listening,90.00,196.00,75.00,42.00,79.00,11B,1,2026-07-14T04:03:31.936Z,https://open.spotify.com/track/6ToM0uwxtPKo9CMpbPGYvM
11,5jGxeAkNbep75x8JLeb52H,Upside Down & Inside Out,OK Go,Hungry Ghosts,currently_listening,93.00,192.00,82.00,56.00,54.00,8B,1,2026-07-14T03:38:49.878Z,https://open.spotify.com/track/5jGxeAkNbep75x8JLeb52H
12,45s88Xopo6KvHc0PQ05aGg,My Generation - Mono Version,The Who,The Who Sings My Generation (U.S. Version),currently_listening,95.00,181.00,79.00,30.00,72.00,5A,1,2026-07-14T04:02:32.249Z,https://open.spotify.com/track/45s88Xopo6KvHc0PQ05aGg
13,3KhF2YiNpJvGpfiCW45R6D,Runnin' with the Devil - 2015 Remaster,Van Halen,Van Halen (Remastered),currently_listening,96.00,179.00,90.00,47.00,42.00,1A,1,2026-07-14T03:01:50.669Z,https://open.spotify.com/track/3KhF2YiNpJvGpfiCW45R6D
14,733ncRLzZQT5UtSPg1QmPc,Sober,P!nk,Funhouse (Expanded Edition),currently_listening,91.00,178.00,80.00,61.00,37.00,2B,1,2026-07-14T03:07:06.772Z,https://open.spotify.com/track/733ncRLzZQT5UtSPg1QmPc
15,5fbQCQt91LsVgXusFS0CCD,Disorder - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),currently_listening,85.00,186.00,80.00,32.00,74.00,3A,1,2026-07-14T03:43:21.667Z,https://open.spotify.com/track/5fbQCQt91LsVgXusFS0CCD
16,3bIF9Iee2Xmt8dQ71pUPGF,Just Like a Pill,P!nk,M!ssundaztood,currently_listening,102.00,172.00,78.00,69.00,25.00,11B,1,2026-07-14T03:07:40.243Z,https://open.spotify.com/track/3bIF9Iee2Xmt8dQ71pUPGF
