rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,3ApAsbQP7d5GlFwwdExaTY,Poplar St,Glass Animals,How To Be A Human Being,currently_listening,69.00,128.00,45.00,57.00,26.00,9A,1,2026-09-14T08:09:45.762Z,https://open.spotify.com/track/3ApAsbQP7d5GlFwwdExaTY
2,5AKYyNPYhumqKeOMhdEgQO,I Saw You Close Your Eyes,Local Natives,I Saw You Close Your Eyes,currently_listening,77.00,124.00,60.00,39.00,25.00,11B,1,2026-09-14T08:09:45.801Z,https://open.spotify.com/track/5AKYyNPYhumqKeOMhdEgQO
3,7JvNsKLxsUTGj7hR0Hkw2Z,Smoke On the Highway,X Ambassadors,Townies,currently_listening,78.00,127.00,67.00,33.00,27.00,9B,1,2026-09-14T08:09:45.742Z,https://open.spotify.com/track/7JvNsKLxsUTGj7hR0Hkw2Z
4,1gJDDQn07jdAYHo2mIpCgx,Parade,Lee DeWyze,Ghost Stories,currently_listening,78.00,134.00,52.00,59.00,23.00,1A,1,2026-09-14T08:09:45.793Z,https://open.spotify.com/track/1gJDDQn07jdAYHo2mIpCgx
5,63OC8cNa4ZnFB3bbvbWCOc,Black Mambo,Glass Animals,ZABA,currently_listening,80.00,140.00,41.00,68.00,31.00,5A,1,2026-09-14T08:09:45.764Z,https://open.spotify.com/track/63OC8cNa4ZnFB3bbvbWCOc
6,3YZ4ccGSysav9mPqbni9JU,Heavy In Your Arms,Florence + The Machine,Lungs (Deluxe Edition),currently_listening,80.00,142.00,80.00,32.00,30.00,8A,1,2026-09-14T08:09:45.738Z,https://open.spotify.com/track/3YZ4ccGSysav9mPqbni9JU
7,6Jqk2PWC70GEBNmXwmTGHp,Under My Skin,Briston Maroney,Carnival,currently_listening,78.00,141.00,68.00,51.00,22.00,10B,1,2026-09-14T08:09:45.804Z,https://open.spotify.com/track/6Jqk2PWC70GEBNmXwmTGHp
8,7tySfDFfBiCjraLdoy6In5,Put It on Me,Matt Maeson,The Hearse,currently_listening,82.00,146.00,41.00,63.00,42.00,3B,1,2026-09-14T08:09:45.759Z,https://open.spotify.com/track/7tySfDFfBiCjraLdoy6In5
9,5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,Wiped Out!,currently_listening,85.00,145.00,52.00,59.00,34.00,6B,1,2026-09-14T08:09:45.800Z,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
10,5ngcqrs4Xq915GUqNtNNr5,Young Blood,Noah Kahan,Busyhead,currently_listening,85.00,148.00,46.00,67.00,35.00,1B,1,2026-09-14T08:09:45.756Z,https://open.spotify.com/track/5ngcqrs4Xq915GUqNtNNr5
11,32CpKhS5v5SFgfbXmdpsi7,Hospital Beds,Florence + The Machine,Lungs (Deluxe Edition),currently_listening,96.00,144.00,46.00,67.00,31.00,10A,1,2026-09-14T08:09:45.739Z,https://open.spotify.com/track/32CpKhS5v5SFgfbXmdpsi7
12,3gtL2E6j0vJb1LLtkphfMm,Burn It Down,Daughter,Music From Before The Storm,currently_listening,98.00,140.00,73.00,46.00,21.00,12A,1,2026-09-14T08:09:45.748Z,https://open.spotify.com/track/3gtL2E6j0vJb1LLtkphfMm
13,4Zhnwb8jvP09aIRAzQMG08,Hospital Beds,Cold War Kids,Robbers & Cowards,currently_listening,96.00,134.00,67.00,54.00,13.00,11B,1,2026-09-14T08:09:45.790Z,https://open.spotify.com/track/4Zhnwb8jvP09aIRAzQMG08
14,29UsGnRUJ8688u1ffmJM0W,release,Maybe Roxanne,release,currently_listening,93.00,132.00,42.00,70.00,20.00,12A,1,2026-09-14T08:09:45.775Z,https://open.spotify.com/track/29UsGnRUJ8688u1ffmJM0W
15,4HM8tkHTQ6JVSMfsJOrcAW,Close Your Eyes,The All-American Rejects,Sweat,currently_listening,92.00,118.00,63.00,47.00,8.00,3B,1,2026-09-14T08:09:45.777Z,https://open.spotify.com/track/4HM8tkHTQ6JVSMfsJOrcAW
16,4jmPfB6e9vKMrGEDyZgkwn,Stonecold,machineheart,Stonecold,currently_listening,94.00,114.00,37.00,62.00,15.00,9B,1,2026-09-14T08:09:45.783Z,https://open.spotify.com/track/4jmPfB6e9vKMrGEDyZgkwn
