#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Better If Worse (with Matt Maeson)","HAFFWAY,Matt Maeson",124,11A,81,2026-06-08,03:59,50,"","Better If Worse (with Matt Maeson)",2026-06-05,54,20,0,48,0,30,-5,F#/G♭ Minor,4,3TP8KZt9tJGyeBRVyDysp9,US6XF2600148,no
2,"Third Side of the Moon","Modest Mouse",171,12B,71,2026-06-08,04:27,50,"indie rock, indie, alternative rock","An Eraser And A Maze",2026-06-05,48,2,24,61,0,10,-5,E Major,4,7fa34IepKo01jV34GTMxQC,USA2P2609803,yes
3,"Absolution","Switchfoot",91,11B,87,2026-06-08,04:05,56,"christian rock, christian alternative rock, ccm, christian","Absolution",2026-05-15,54,2,0,27,10,10,-6,A Major,4,3jfHclM5oNBSUvuBS7OgPj,QMRSZ2600425,no
4,"Clothesline","The All-American Rejects",145,8B,82,2026-06-08,03:34,57,"pop punk, emo","Sandbox",2026-05-15,56,0,0,68,0,10,-5,C Major,4,7LsDPR5Y9YdzQOauL2DP4s,QT2VB2611565,no
5,"Ships Passing","Young the Giant",110,8B,86,2026-06-08,03:17,57,"","Victory Garden",2026-05-01,60,0,0,56,0,10,-4,C Major,4,6iIygVDkwznk9NBXIwOIfP,US5262527910,no
