#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
37,"Detroit Rock City","KISS",91,5A,85,2025-12-08,03:48,59,"glam rock, glam metal, hard rock, rock, classic rock","Smashes Thrashes & Hits",1988-01-01,48,1,0,32,10,10,-11,C Minor,4,3uz0O62HqYoyRiWZjS61KK,USPR37707201,no
38,"Rebel Yell","Billy Idol",166,9A,86,2025-12-08,04:48,81,"","Rebel Yell",1983-11-01,53,0,0,49,0,30,-5,E Minor,4,4TIJ7zSBNejpoIPaWpWRKc,USCH38400024,no
39,"White Wedding - Pt. 1","Billy Idol",147,11B,81,2025-12-08,04:12,77,"","Billy Idol",1982-01-01,67,1,0,73,0,30,-5,A Major,4,1gzIbdFnGJ226LTl0Cn2SX,USCH30100008,no
40,"I'll Be There For You","Bon Jovi",73,10B,73,2025-12-08,05:46,74,"glam metal","New Jersey (Deluxe Edition)",1988-09-13,44,5,0,23,0,10,-5,D Major,4,07HqIg8BnB1lJElnw2ZiSR,USPR39402229,no
41,"Always","Bon Jovi",141,12B,66,2025-12-08,05:53,82,"glam metal","Cross Road",1994-10-18,38,12,0,33,0,0,-6,E Major,4,2RChe0r2cMoyOvuKobZy44,USPR39412221,no
42,"Hallelujah - Live","Bon Jovi",175,1A,28,2025-12-08,06:01,42,"glam metal","2000s Pop Rock For Kids",2024-09-17,22,75,0,14,0,10,-11,G#/A♭ Minor,3,4eeUqdnR6FHq6F9DL4ndbK,USUM70749432,no
43,"Who Says You Can't Go Home","Bon Jovi,Jennifer Nettles",132,9B,89,2025-12-08,03:50,59,"glam metal, ","Have A Nice Day",2005-01-01,54,4,0,80,0,20,-4,G Major,4,5439qJTu5mVH9aeriwp03u,USUM70502482,no
44,"Wind Of Change","Scorpions",152,8B,52,2025-12-08,05:12,85,"hard rock, glam metal, rock","Crazy World",1990-01-01,45,32,0,25,0,10,-10,C Major,4,3ovjw5HZZv43SxTwApooCM,USPG19090037,no
45,"Rock You Like A Hurricane","Scorpions",126,9A,62,2025-12-08,04:12,76,"hard rock, glam metal, rock","Love At First Sting",1984-03-27,48,1,0,72,0,20,-13,E Minor,4,58XWGx7KNNkKneHdprcprX,USPR38430331,no
46,"Here I Go Again - 2018 Remaster","Whitesnake",90,9B,82,2025-12-08,04:35,17,"glam metal, glam rock, hard rock","Whitesnake (2018 Remaster)",1987-04-07,29,1,0,24,0,10,-7,G Major,4,1qOU8KzFifXE9YrgjVwYvc,GB01A1800010,no
47,"Now You're Gone - 2009 Remaster","Whitesnake",114,8B,86,2025-12-08,04:06,3,"glam metal, glam rock, hard rock","Slip of the Tongue (20th Anniversary Edition)",1989-00-00,48,2,0,35,0,0,-7,C Major,4,5QkAAXiq4WSvfxAcgcCpOk,GB01A0900151,no
48,"Thunderstruck","AC/DC",134,12B,89,2025-12-08,04:52,90,"rock, hard rock, classic rock, rock and roll","The Razors Edge",1990-09-24,50,0,1,26,0,20,-5,E Major,4,57bgtoPSgt236HzfBOd8kj,AUAP09000014,no
49,"T.N.T.","AC/DC",126,11B,76,2025-12-08,03:35,83,"rock, hard rock, classic rock, rock and roll","High Voltage",1976-05-14,75,15,0,44,30,10,-5,A Major,4,7LRMbd3LEoV5wZJvXT1Lwb,AUAP07600012,no
50,"Back In Black","AC/DC",188,11B,70,2025-12-08,04:16,88,"rock, hard rock, classic rock, rock and roll","Back In Black",1980-07-25,31,1,1,76,0,0,-6,A Major,4,08mG3Y1vljYA6bvDt4Wqkj,AUAP08000046,no
